transcript_id,times
ENST00000496114,20
ENST00000262613,2
ENST00000496112,2
ENST00000496113,1
ENST00000496118,3
ENST00000456142,0
ENST00000456145,4
ENST00000456144,20
ENST00000456147,0
ENST00000160298,2
ENST00000456149,3
ENST00000456148,2
ENST00000513541,5
ENST00000513540,1
ENST00000513543,0
ENST00000506090,0
ENST00000506093,0
ENST00000506092,0
ENST00000506099,9
ENST00000248668,7
ENST00000599567,5
ENST00000555910,7
ENST00000555911,2
ENST00000555913,0
ENST00000555914,73
ENST00000314330,1
ENST00000314332,2
ENST00000462419,2
ENST00000462412,4
ENST00000430714,0
ENST00000411990,7
ENST00000411995,2
ENST00000411994,4
ENST00000567094,13
ENST00000567096,4
ENST00000379358,2
ENST00000567093,3
ENST00000426086,3
ENST00000593039,6
ENST00000593038,0
ENST00000264515,2
ENST00000593036,8
ENST00000593031,4
ENST00000426088,1
ENST00000556465,7
ENST00000556466,0
ENST00000556461,6
ENST00000556462,1
ENST00000510936,0
ENST00000556468,3
ENST00000297625,0
ENST00000399302,3
ENST00000420687,6
ENST00000399300,8
ENST00000399306,8
ENST00000399304,5
ENST00000588750,5
ENST00000335934,1
ENST00000398542,6
ENST00000589835,0
ENST00000581739,2
ENST00000581738,4
ENST00000581733,1
ENST00000224073,3
ENST00000606797,1
ENST00000492918,0
ENST00000583389,1
ENST00000514707,0
ENST00000583382,0
ENST00000583380,0
ENST00000583381,3
ENST00000340149,3
ENST00000437508,3
ENST00000437509,2
ENST00000437500,6
ENST00000532332,0
ENST00000532331,0
ENST00000437503,0
ENST00000306549,0
ENST00000437506,2
ENST00000514703,0
ENST00000307635,0
ENST00000434854,4
ENST00000307630,2
ENST00000528938,0
ENST00000307633,14
ENST00000528936,4
ENST00000283297,1
ENST00000283296,0
ENST00000283290,4
ENST00000434859,0
ENST00000437613,1
ENST00000592347,0
ENST00000503765,1
ENST00000592342,1
ENST00000539458,25
ENST00000309295,4
ENST00000551116,4
ENST00000551110,0
ENST00000340465,0
ENST00000551118,2
ENST00000340462,6
ENST00000371191,0
ENST00000416385,2
ENST00000371196,3
ENST00000371197,0
ENST00000371198,5
ENST00000371199,1
ENST00000457979,2
ENST00000396218,0
ENST00000396219,0
ENST00000536305,8
ENST00000536300,1
ENST00000396210,1
ENST00000396211,0
ENST00000396212,3
ENST00000396213,0
ENST00000396217,1
ENST00000573771,7
ENST00000573778,18
ENST00000597830,1
ENST00000597832,4
ENST00000597836,4
ENST00000407653,7
ENST00000407654,1
ENST00000393792,0
ENST00000393793,1
ENST00000393791,8
ENST00000393796,6
ENST00000393797,8
ENST00000393794,17
ENST00000393795,5
ENST00000291971,0
ENST00000509185,2
ENST00000600022,12
ENST00000509180,1
ENST00000600020,0
ENST00000329312,2
ENST00000329314,0
ENST00000329319,6
ENST00000376872,2
ENST00000376873,0
ENST00000376871,2
ENST00000376876,5
ENST00000376874,1
ENST00000376875,5
ENST00000276185,0
ENST00000240050,3
ENST00000240055,3
ENST00000584811,8
ENST00000584810,0
ENST00000246841,1
ENST00000439362,2
ENST00000439363,2
ENST00000449408,2
ENST00000449409,3
ENST00000439365,1
ENST00000449405,0
ENST00000449406,3
ENST00000439369,5
ENST00000440486,0
ENST00000294613,2
ENST00000222115,0
ENST00000582415,2
ENST00000294618,0
ENST00000582416,0
ENST00000582410,10
ENST00000395747,1
ENST00000447533,4
ENST00000447530,0
ENST00000395744,6
ENST00000447536,1
ENST00000395741,9
ENST00000447535,2
ENST00000447539,3
ENST00000276893,1
ENST00000395749,1
ENST00000395748,0
ENST00000524132,0
ENST00000524131,1
ENST00000524137,6
ENST00000457630,1
ENST00000543630,8
ENST00000085219,15
ENST00000587473,1
ENST00000488653,8
ENST00000424016,27
ENST00000424017,0
ENST00000424014,4
ENST00000376255,5
ENST00000376250,0
ENST00000376251,2
ENST00000591064,0
ENST00000591066,0
ENST00000591067,3
ENST00000591060,0
ENST00000376259,8
ENST00000555919,1
ENST00000258484,1
ENST00000321944,2
ENST00000321945,0
ENST00000313234,0
ENST00000308650,2
ENST00000243501,2
ENST00000270457,0
ENST00000541965,0
ENST00000541966,0
ENST00000541961,13
ENST00000541963,4
ENST00000400191,0
ENST00000400192,1
ENST00000594582,1
ENST00000609089,0
ENST00000400199,2
ENST00000609087,0
ENST00000270452,10
ENST00000373758,0
ENST00000373759,2
ENST00000452935,8
ENST00000373750,2
ENST00000373754,0
ENST00000373755,0
ENST00000289407,1
