transcript_id,rcount
ENST00000496114,617
ENST00000262613,34
ENST00000496112,1038
ENST00000496113,41
ENST00000496118,112
ENST00000456142,0
ENST00000456145,19
ENST00000456144,1226
ENST00000456147,0
ENST00000160298,387
ENST00000456149,1330
ENST00000456148,176
ENST00000513541,107
ENST00000513540,1
ENST00000513543,0
ENST00000506090,0
ENST00000506093,0
ENST00000506092,0
ENST00000506099,715
ENST00000248668,450
ENST00000599567,791
ENST00000555910,52
ENST00000555911,12
ENST00000555913,0
ENST00000555914,18342
ENST00000314330,4
ENST00000314332,39
ENST00000462419,3
ENST00000462412,27
ENST00000430714,0
ENST00000411990,159
ENST00000411995,194
ENST00000411994,86
ENST00000567094,919
ENST00000567096,12
ENST00000379358,3
ENST00000567093,236
ENST00000426086,558
ENST00000593039,82
ENST00000593038,0
ENST00000264515,807
ENST00000593036,205
ENST00000593031,1861
ENST00000426088,4
ENST00000556465,68
ENST00000556466,0
ENST00000556461,5196
ENST00000556462,1
ENST00000510936,0
ENST00000556468,2110
ENST00000297625,0
ENST00000399302,167
ENST00000420687,42
ENST00000399300,522
ENST00000399306,50
ENST00000399304,25
ENST00000588750,148
ENST00000335934,160
ENST00000398542,31
ENST00000589835,0
ENST00000581739,2
ENST00000581738,186
ENST00000581733,1
ENST00000224073,7620
ENST00000606797,253
ENST00000492918,0
ENST00000583389,64
ENST00000514707,0
ENST00000583382,0
ENST00000583380,0
ENST00000583381,634
ENST00000340149,51
ENST00000437508,11
ENST00000437509,995
ENST00000437500,983
ENST00000532332,0
ENST00000532331,0
ENST00000437503,0
ENST00000306549,0
ENST00000437506,252
ENST00000514703,0
ENST00000307635,0
ENST00000434854,292
ENST00000307630,30
ENST00000528938,0
ENST00000307633,3026
ENST00000528936,27
ENST00000283297,2
ENST00000283296,0
ENST00000283290,3748
ENST00000434859,0
ENST00000437613,203
ENST00000592347,0
ENST00000503765,1
ENST00000592342,207
ENST00000539458,3428
ENST00000309295,547
ENST00000551116,204
ENST00000551110,0
ENST00000340465,0
ENST00000551118,631
ENST00000340462,35
ENST00000371191,0
ENST00000416385,5
ENST00000371196,6
ENST00000371197,0
ENST00000371198,16
ENST00000371199,27
ENST00000457979,208
ENST00000396218,0
ENST00000396219,0
ENST00000536305,238
ENST00000536300,5
ENST00000396210,2
ENST00000396211,0
ENST00000396212,1282
ENST00000396213,0
ENST00000396217,2
ENST00000573771,146
ENST00000573778,470
ENST00000597830,7
ENST00000597832,31
ENST00000597836,55
ENST00000407653,2576
ENST00000407654,623
ENST00000393792,0
ENST00000393793,20
ENST00000393791,349
ENST00000393796,1453
ENST00000393797,399
ENST00000393794,2027
ENST00000393795,575
ENST00000291971,0
ENST00000509185,3674
ENST00000600022,234
ENST00000509180,211
ENST00000600020,0
ENST00000329312,103
ENST00000329314,0
ENST00000329319,483
ENST00000376872,3
ENST00000376873,0
ENST00000376871,5
ENST00000376876,422
ENST00000376874,5
ENST00000376875,422
ENST00000276185,0
ENST00000240050,39
ENST00000240055,96
ENST00000584811,60
ENST00000584810,0
ENST00000246841,446
ENST00000439362,2
ENST00000439363,360
ENST00000449408,41
ENST00000449409,293
ENST00000439365,435
ENST00000449405,0
ENST00000449406,7
ENST00000439369,160
ENST00000440486,0
ENST00000294613,364
ENST00000222115,0
ENST00000582415,6
ENST00000294618,0
ENST00000582416,0
ENST00000582410,1014
ENST00000395747,1
ENST00000447533,823
ENST00000447530,0
ENST00000395744,1349
ENST00000447536,1
ENST00000395741,1843
ENST00000447535,538
ENST00000447539,8
ENST00000276893,3996
ENST00000395749,1
ENST00000395748,0
ENST00000524132,0
ENST00000524131,1
ENST00000524137,160
ENST00000457630,3
ENST00000543630,32
ENST00000085219,1409
ENST00000587473,520
ENST00000488653,794
ENST00000424016,664
ENST00000424017,0
ENST00000424014,430
ENST00000376255,143
ENST00000376250,0
ENST00000376251,24
ENST00000591064,0
ENST00000591066,0
ENST00000591067,883
ENST00000591060,0
ENST00000376259,603
ENST00000555919,7
ENST00000258484,2
ENST00000321944,51
ENST00000321945,0
ENST00000313234,0
