transcript_id,tcount
ENST00000496114,51
ENST00000262613,7
ENST00000496112,3
ENST00000496113,36
ENST00000496118,6
ENST00000456142,0
ENST00000456145,3
ENST00000456144,143
ENST00000456147,0
ENST00000160298,3
ENST00000456149,3
ENST00000456148,61
ENST00000513541,30
ENST00000513540,0
ENST00000513543,0
ENST00000506090,0
ENST00000506093,0
ENST00000506092,0
ENST00000506099,5
ENST00000248668,1
ENST00000599567,29
ENST00000555910,7
ENST00000555911,53
ENST00000555913,0
ENST00000555914,1102
ENST00000314330,3
ENST00000314332,3
ENST00000462419,32
ENST00000462412,9
ENST00000430714,0
ENST00000411990,11
ENST00000411995,2
ENST00000411994,6
ENST00000567094,40
ENST00000567096,0
ENST00000379358,26
ENST00000567093,1
ENST00000426086,2
ENST00000593039,76
ENST00000593038,0
ENST00000264515,3
ENST00000593036,18
ENST00000593031,9
ENST00000426088,0
ENST00000556465,1
ENST00000556466,0
ENST00000556461,10
ENST00000556462,1
ENST00000510936,0
ENST00000556468,30
ENST00000297625,1
ENST00000399302,8
ENST00000420687,12
ENST00000399300,28
ENST00000399306,14
ENST00000399304,59
ENST00000588750,33
ENST00000335934,5
ENST00000398542,40
ENST00000589835,0
ENST00000581739,0
ENST00000581738,15
ENST00000581733,57
ENST00000224073,8
ENST00000606797,10
ENST00000492918,2
ENST00000583389,30
ENST00000514707,0
ENST00000583382,0
ENST00000583380,3
ENST00000583381,10
ENST00000340149,9
ENST00000437508,5
ENST00000437509,2
ENST00000437500,12
ENST00000532332,0
ENST00000532331,0
ENST00000437503,0
ENST00000306549,0
ENST00000437506,3
ENST00000514703,0
ENST00000307635,0
ENST00000434854,6
ENST00000307630,1
ENST00000528938,0
ENST00000307633,87
ENST00000528936,29
ENST00000283297,2
ENST00000283296,0
ENST00000283290,9
ENST00000434859,0
ENST00000437613,3
ENST00000592347,2
ENST00000503765,11
ENST00000592342,23
ENST00000539458,31
ENST00000309295,5
ENST00000551116,22
ENST00000551110,0
ENST00000340465,1
ENST00000551118,14
ENST00000340462,20
ENST00000371191,0
ENST00000416385,1
ENST00000371196,42
ENST00000371197,0
ENST00000371198,9
ENST00000371199,4
ENST00000457979,602
ENST00000396218,0
ENST00000396219,0
ENST00000536305,25
ENST00000536300,3
ENST00000396210,26
ENST00000396211,0
ENST00000396212,14
ENST00000396213,0
ENST00000396217,9
ENST00000573771,5
ENST00000573778,101
ENST00000597830,0
ENST00000597832,9
ENST00000597836,18
ENST00000407653,8
ENST00000407654,6
ENST00000393792,1
ENST00000393793,24
ENST00000393791,64
ENST00000393796,30
ENST00000393797,56
ENST00000393794,19
ENST00000393795,30
ENST00000291971,0
ENST00000509185,0
ENST00000600022,239
ENST00000509180,6
ENST00000600020,0
ENST00000329312,0
ENST00000329314,1
ENST00000329319,32
ENST00000376872,13
ENST00000376873,3
ENST00000376871,13
ENST00000376876,33
ENST00000376874,6
ENST00000376875,26
ENST00000276185,0
ENST00000240050,28
ENST00000240055,8
ENST00000584811,61
ENST00000584810,0
ENST00000246841,1
ENST00000439362,27
ENST00000439363,0
ENST00000449408,60
ENST00000449409,37
ENST00000439365,9
ENST00000449405,0
ENST00000449406,34
ENST00000439369,22
ENST00000440486,0
ENST00000294613,9
ENST00000222115,0
ENST00000582415,6
ENST00000294618,27
ENST00000582416,0
ENST00000582410,16
ENST00000395747,29
ENST00000447533,4
ENST00000447530,0
ENST00000395744,39
ENST00000447536,0
ENST00000395741,38
ENST00000447535,1
ENST00000447539,0
ENST00000276893,2
ENST00000395749,37
ENST00000395748,0
ENST00000524132,0
ENST00000524131,0
ENST00000524137,0
ENST00000457630,9
ENST00000543630,26
ENST00000085219,167
ENST00000587473,2
ENST00000488653,58
ENST00000424016,7
ENST00000424017,0
ENST00000424014,19
ENST00000376255,3
ENST00000376250,0
ENST00000376251,9
ENST00000591064,19
ENST00000591066,0
ENST00000591067,0
ENST00000591060,0
ENST00000376259,3
ENST00000555919,6
ENST00000258484,15
ENST00000321944,23
ENST00000321945,25
ENST00000313234,0
ENST00000308650,2
ENST00000243501,3
ENST00000270457,30
ENST00000541965,10
ENST00000541966,0
ENST00000541961,120
ENST00000541963,30
ENST00000400191,0
ENST00000400192,0
ENST00000594582,16
ENST00000609089,0
ENST00000400199,7
ENST00000609087,1
ENST00000270452,36
ENST00000373758,2
ENST00000373759,10
ENST00000452935,74
ENST00000373750,36
ENST00000373754,0
ENST00000373755,0
ENST00000289407,1
ENST00000292616,2
ENST00000289409,33
ENST00000440480,12
ENST00000599699,6
ENST00000599694,8
ENST00000599693,15
ENST00000559260,52
ENST00000559269,3
ENST00000368602,0
ENST00000368603,39
ENST00000368600,47
ENST00000368601,23
ENST00000368606,3
ENST00000368607,41
ENST00000368604,3
ENST00000467317,13
ENST00000528164,7
ENST00000368608,1
ENST00000368609,3
ENST00000528160,0
ENST00000528163,866
ENST00000543845,0
ENST00000390667,10
ENST00000390666,0
ENST00000390665,3
ENST00000390664,3
ENST00000390661,0
ENST00000452931,13
ENST00000390669,6
ENST00000390668,62
ENST00000597053,0
ENST00000597051,0
ENST00000529411,13
ENST00000529417,0
ENST00000529414,33
ENST00000529415,5
ENST00000597058,0
ENST00000372407,26
ENST00000372406,8
ENST00000357089,70
ENST00000372403,107
ENST00000460223,34
ENST00000357082,3
ENST00000357083,12
ENST00000357080,0
ENST00000357081,24
ENST00000357086,43
ENST00000372409,1
ENST00000357085,2
ENST00000508448,11
ENST00000311812,0
ENST00000508445,0
ENST00000508447,10
ENST00000508440,0
ENST00000508442,11
ENST00000246069,2
ENST00000317318,5
ENST00000441159,21
ENST00000366139,0
ENST00000441152,0
ENST00000441150,0
ENST00000586997,0
ENST00000202625,0
ENST00000443947,1
ENST00000443946,1
ENST00000443941,3
ENST00000443940,0
ENST00000466045,14
ENST00000325752,22
ENST00000369551,0
ENST00000369550,6
ENST00000369553,43
ENST00000369552,14
ENST00000369555,73
ENST00000369554,78
ENST00000369557,8
ENST00000369556,15
ENST00000369559,55
ENST00000369558,76
ENST00000361764,16
ENST00000361762,0
ENST00000361763,3
ENST00000361760,0
ENST00000425042,5
ENST00000470018,11
ENST00000599748,59
ENST00000425043,0
ENST00000370656,3
ENST00000596046,37
ENST00000425041,7
ENST00000593032,15
ENST00000468059,10
ENST00000455195,0
ENST00000406904,6
ENST00000333407,0
ENST00000406900,4
ENST00000406902,14
ENST00000423376,8
ENST00000423377,25
ENST00000423375,24
ENST00000423372,32
ENST00000423371,0
ENST00000425048,0
ENST00000286523,11
ENST00000370658,0
ENST00000424696,0
ENST00000560848,20
ENST00000560846,5
ENST00000571471,5
ENST00000560840,3
ENST00000560841,0
ENST00000440209,0
ENST00000440208,0
ENST00000531895,39
ENST00000531890,13
ENST00000440200,0
ENST00000440203,3
ENST00000273286,0
ENST00000440205,5
ENST00000351030,23
ENST00000351035,18
ENST00000329122,0
ENST00000452939,19
ENST00000304414,29
ENST00000402102,0
ENST00000304411,0
ENST00000402105,15
ENST00000251343,49
ENST00000358514,3
ENST00000358517,6
ENST00000358511,0
ENST00000358510,5
ENST00000513283,0
ENST00000313548,0
ENST00000477742,92
ENST00000477743,0
ENST00000477740,6
ENST00000313546,24
ENST00000477745,15
ENST00000289877,3
ENST00000538202,0
ENST00000355640,4
ENST00000392436,11
ENST00000338835,5
ENST00000355648,13
ENST00000326474,0
ENST00000326470,15
ENST00000520158,0
ENST00000311946,3
ENST00000508724,0
ENST00000563308,4
ENST00000348120,0
ENST00000520152,8
ENST00000520153,110
ENST00000520154,49
ENST00000520155,0
ENST00000348127,106
ENST00000348126,182
ENST00000215919,5
ENST00000215917,12
ENST00000215912,12
ENST00000417865,35
ENST00000417864,57
ENST00000349458,3
ENST00000349459,16
ENST00000349456,22
ENST00000349457,3
ENST00000349455,0
ENST00000479081,0
ENST00000349451,6
ENST00000333119,3
ENST00000357869,11
ENST00000357864,14
ENST00000357865,23
ENST00000357866,40
ENST00000357867,76
ENST00000357861,8
ENST00000590790,36
ENST00000566877,35
ENST00000566876,0
ENST00000566871,51
ENST00000566873,0
ENST00000566872,32
ENST00000220562,17
ENST00000333110,0
ENST00000450619,9
ENST00000587678,9
ENST00000587679,18
ENST00000587676,0
ENST00000496687,0
ENST00000496684,86
ENST00000450618,0
ENST00000496682,3
ENST00000496681,3
ENST00000450617,15
ENST00000585684,0
ENST00000443163,0
ENST00000370384,6
ENST00000443166,14
ENST00000263981,19
ENST00000263980,7
ENST00000354514,2
ENST00000263985,7
ENST00000564657,0
ENST00000302053,0
ENST00000564655,25
ENST00000564653,9
ENST00000370380,1
ENST00000262059,151
ENST00000262056,30
ENST00000482059,0
ENST00000262052,145
ENST00000262053,12
ENST00000262051,127
ENST00000555288,0
ENST00000481503,20
ENST00000481508,26
ENST00000555282,0
ENST00000555283,0
ENST00000555287,21
ENST00000429851,8
ENST00000336199,11
ENST00000470820,8
ENST00000470821,82
ENST00000470827,6
ENST00000535408,23
ENST00000535404,28
ENST00000535406,16
ENST00000535407,6
ENST00000535400,12
ENST00000535401,0
ENST00000264065,2
ENST00000593587,158
ENST00000593583,0
ENST00000593582,14
ENST00000593588,0
ENST00000560025,5
ENST00000560027,4
ENST00000560029,19
ENST00000300880,4
ENST00000497553,0
ENST00000340477,6
ENST00000490689,12
ENST00000405222,88
ENST00000518989,33
ENST00000489752,3
ENST00000518984,0
ENST00000512921,3
ENST00000518986,10
ENST00000512923,65
ENST00000518980,42
ENST00000512927,0
ENST00000011619,2
ENST00000450247,0
ENST00000450240,18
ENST00000450241,75
ENST00000450242,0
ENST00000607000,4
ENST00000607001,1
ENST00000607003,24
ENST00000607004,0
ENST00000583388,4
ENST00000514135,23
ENST00000514134,0
ENST00000511324,0
ENST00000511323,0
ENST00000530541,0
