,Unnamed: 0,EffectiveLength,Length,Name,NumReads,TPM,count,deviation,faulty,mean,std,diff
0,38625,1952.991,2152,ENST00000414083,0.0,0.0,90,33734558544.8,1,1.89121515748e-10,2.66788729072e-09,89
1,9953,3209.991,3409,ENST00000369226,0.0,0.0,18,18249516602.5,1,6.9918902336e-11,9.86327495242e-10,17
2,10832,1805.991,2005,ENST00000368236,0.0,0.0,50,9409785900.12,1,1.09296052368e-09,5.31361717787e-09,49
3,50097,4529.991,4729,ENST00000543253,0.0,0.0,16,6299056190.45,1,4.03106223653e-10,2.54006306911e-09,15
4,59670,5934.991,6134,ENST00000370187,0.0,0.0,78,3377697556.54,1,1.63699481863e-09,2.30926537065e-08,77
5,50096,5780.991,5980,ENST00000537097,0.0,0.0,19,2066194828.27,1,1.46858047243e-09,9.19564783465e-09,18
6,51036,1782.991,1982,ENST00000334497,0.0,0.0,6,1901359120.03,1,2.23697206123e-10,3.15563742617e-09,5
7,71547,2127.991,2327,ENST00000556994,0.0,0.0,39,1821520674.53,1,6.01276494087e-09,2.14106820412e-08,38
8,7062,5203.991,5403,ENST00000373658,0.0,0.0,16,1421881577.22,1,2.95019191769e-09,1.12526951986e-08,15
9,43533,976.991,1176,ENST00000373723,0.0,0.0,5,1230760112.34,1,2.8798512312e-10,4.06253009793e-09,4
10,547,4635.991,4835,ENST00000338121,0.0,0.0,16,1152955474.63,1,3.88655031672e-09,1.38773789172e-08,15
11,3157,2953.991,3153,ENST00000357838,0.0,0.0,3,1118529657.74,1,3.1781478492e-10,2.6820924943e-09,2
12,29970,297.007,496,ENST00000510712,0.0,0.0,2,494431493.492,1,6.31862993269e-10,4.04504977068e-09,1
13,12695,4853.991,5053,ENST00000366929,0.0,0.0,6,477406103.264,1,3.73826810117e-09,1.25679164033e-08,5
14,76411,3189.991,3389,ENST00000535446,0.0,0.0,5,270863616.769,1,1.3085574454e-09,1.84594743965e-08,4
15,41317,8033.991,8233,ENST00000366882,0.0,0.0,6,247361365.082,1,7.99741244925e-09,2.42560109984e-08,5
16,42009,5624.991,5824,ENST00000345050,0.0,0.0,83,233967335.423,1,1.49655395141e-07,3.54750374449e-07,82
17,38578,6009.991,6209,ENST00000374708,0.0,0.0,7,222788000.082,1,1.12152108278e-08,3.14200046063e-08,6
18,71310,3204.991,3404,ENST00000554068,0.0,0.0,4,203806126.357,1,5.15362926729e-09,1.96264953676e-08,3
19,29078,3868.991,4068,ENST00000261944,0.0,0.0,2,199953528.011,1,2.22394116158e-09,1.00023241284e-08,1
20,79064,1193.991,1393,ENST00000578363,0.0,0.0,2,191839611.388,1,3.00316974775e-09,1.04253755652e-08,1
21,56475,795.998,995,ENST00000514294,0.0,0.0,6,190969168.766,1,1.1927624735e-08,3.14186841093e-08,5
22,46387,3837.991,4037,ENST00000602969,0.0,0.0,83,184687230.578,1,9.99176642269e-08,4.49408438474e-07,82
23,32443,6383.991,6583,ENST00000511601,0.0,0.0,8,129620205.922,1,2.59945135725e-08,6.17187722938e-08,7
24,36303,8988.991,9188,ENST00000325888,0.0,0.0,4,112688442.642,1,1.40254288474e-08,3.54960978445e-08,3
25,42008,6026.991,6226,ENST00000379166,1e-06,0.0,134,85655448.9444,1,7.9086976492e-07,1.56440717853e-06,133
26,42307,598.998,798,ENST00000586273,0.0,0.0,10,72962093.327,1,5.82584668607e-08,1.37057470335e-07,9
27,2163,7471.991,7671,ENST00000400202,0.0,0.0,10,65104486.8992,1,7.82931979841e-08,1.53599243278e-07,9
28,19404,920.991,1120,ENST00000355549,0.0,0.0,4,58217007.192,1,4.87061247795e-09,6.87084442857e-08,3
29,52782,2414.991,2614,ENST00000379129,0.0,0.0,1,57211734.0634,1,4.63210879726e-09,1.74789317565e-08,0
30,41044,6087.991,6287,ENST00000354675,0.0,0.0,8,47482999.2178,1,5.40683128881e-08,1.68481352857e-07,7
31,61545,6674.991,6874,ENST00000356711,0.0,0.0,6,43464546.9913,1,4.82450168996e-08,1.38043540474e-07,5
32,8910,4422.991,4622,ENST00000409154,0.0,0.0,7,39043464.4908,1,1.00529728362e-07,1.7928736578e-07,6
33,2122,5414.991,5614,ENST00000536311,0.0,0.0,1,32177131.5628,1,1.22330200684e-08,3.10779718141e-08,0
34,24297,3032.991,3232,ENST00000450993,0.0,0.0,15,29922790.8203,1,1.12311957741e-07,5.01290136264e-07,14
35,18591,4569.991,4769,ENST00000447382,0.0,0.0,2,21813703.8012,1,4.1117924402e-08,9.16854825348e-08,1
36,24147,7825.991,8025,ENST00000357009,0.0,0.0,5,19536179.6019,1,4.93781336285e-08,2.55935400498e-07,4
37,52930,11496.991,11696,ENST00000278379,1e-06,0.0,14,14710132.8571,1,6.02504059046e-07,9.51724877911e-07,13
38,74548,2212.991,2412,ENST00000424747,0.0,0.0,1,13391613.9516,1,1.82870953495e-08,7.46735968742e-08,0
39,42156,1418.991,1618,ENST00000484764,0.0,0.0,6,11596031.698,1,3.66788166402e-08,5.1741838239e-07,5
40,38584,5982.991,6182,ENST00000374712,5e-06,0.0,26,7102473.16153,1,2.17519938439e-06,3.66069638469e-06,25
41,38679,2976.991,3176,ENST00000609222,0.0,0.0,1,3588655.90967,1,1.18397602325e-07,2.78655827355e-07,0
42,65727,6729.991,6929,ENST00000339433,0.0,0.0,24,3588553.3302,1,5.47829349821e-07,6.68793166599e-06,23
43,66111,9160.991,9360,ENST00000338432,6e-05,0.0,129,2776818.9605,1,3.1091085728e-05,4.64560242291e-05,128
44,69231,386.005,585,ENST00000558808,1e-06,0.0,2,2684407.06296,1,2.50166870497e-07,7.45043394286e-07,1
45,18676,3334.991,3534,ENST00000401815,3e-06,0.0,5,2347805.39127,1,1.41437050213e-06,2.12964779969e-06,4
46,5733,9446.991,9646,ENST00000262450,9e-06,0.0,15,2095442.21627,1,4.67570798388e-06,7.158391297e-06,14
47,71069,5741.991,5941,ENST00000405093,7e-06,0.0,10,2029378.80825,1,3.39630064181e-06,4.92761457992e-06,9
48,58420,3239.991,3439,ENST00000515869,0.0,0.0,38,2021434.03799,1,2.98452644675e-06,1.8798534259e-05,37
49,12479,2969.991,3169,ENST00000441839,7e-06,0.0,19,938854.760057,1,7.03194619215e-06,2.02374145357e-05,18
50,32404,4376.991,4576,ENST00000435205,0.0,0.0,4,898241.889247,1,4.04427123101e-07,4.45314301577e-06,3
51,1568,3822.991,4022,ENST00000289431,0.0,0.0,3,858840.206317,1,3.84553082755e-07,3.49308240739e-06,2
52,38698,1030.991,1230,ENST00000586413,0.0,0.0,1,771797.979365,1,9.18480170785e-08,1.29567572718e-06,0
53,25073,3526.991,3726,ENST00000409223,1e-06,0.0,1,763207.5234,1,6.45992234777e-07,1.31025877412e-06,0
54,60760,5247.991,5447,ENST00000350148,7.5e-05,0.0,32,639983.899169,1,3.66011517019e-05,5.00012007183e-05,31
55,83278,2047.991,2247,ENST00000545725,2.3e-05,0.0,7,506742.910931,1,1.0610368405e-05,1.38136898191e-05,6
56,38704,4071.991,4271,ENST00000538621,0.00012,1e-06,22,304774.542244,1,6.097188973e-05,7.21843066882e-05,21
57,28659,745.998,945,ENST00000519404,0.0,0.0,6,276732.902907,1,2.05229887666e-06,2.16815488317e-05,5
58,23384,4210.991,4410,ENST00000520309,0.000246,2e-06,37,273051.72587,1,9.04491011769e-05,0.000135505129781,36
59,5367,2864.991,3064,ENST00000433179,1.6e-05,0.0,3,248732.162115,1,7.72611922576e-06,1.20611353529e-05,2
60,69139,3132.991,3332,ENST00000540068,5.2e-05,1e-06,7,214041.092827,1,2.67947270641e-05,3.27038752831e-05,6
61,80371,1936.991,2136,ENST00000415638,6e-06,0.0,1,177052.023623,1,3.02815137049e-06,5.64804034084e-06,0
62,31428,4817.991,5017,ENST00000359052,0.0,0.0,13,166083.957344,1,6.89425709397e-06,7.82736232546e-05,12
63,36409,1980.991,2180,ENST00000378576,6.2e-05,1e-06,7,162202.636498,1,3.15371070711e-05,4.31557008815e-05,6
64,69872,7097.991,7297,ENST00000356249,7.8e-05,0.0,6,126418.866092,1,3.89898778469e-05,4.74609620827e-05,5
65,49436,1849.991,2049,ENST00000430150,0.003643,6.1e-05,249,117422.793985,1,0.00198543567784,0.00212052537769,248
66,40854,9523.991,9723,ENST00000367603,0.001049,3e-06,95,114020.835909,1,0.000661474673903,0.000833175250544,94
67,61882,4123.991,4323,ENST00000011898,0.000104,1e-06,7,107145.524285,1,5.20306953008e-05,6.53312214022e-05,6
68,90677,3099.991,3299,ENST00000328092,0.0,0.0,2,87046.3281318,1,7.81925689451e-06,2.29761808874e-05,1
69,56501,740.998,940,ENST00000375320,1.5e-05,1e-06,1,86336.7039651,1,6.2652552356e-06,1.15824868083e-05,0
70,64314,1069.991,1269,ENST00000257895,3.7e-05,1e-06,2,68854.8327407,1,1.20417378908e-05,2.90464427645e-05,1
71,52288,5832.991,6032,ENST00000421747,0.000197,1e-06,7,66363.1607518,1,6.37133763031e-05,0.000105479247934,6
72,33118,1417.991,1617,ENST00000553598,0.000225,5e-06,8,54592.9180654,1,8.62545503947e-05,0.000146537573534,7
73,56250,5296.991,5496,ENST00000532918,8.3e-05,0.0,2,45429.5457655,1,3.8955898044e-05,4.40233555146e-05,1
74,53037,3254.991,3454,ENST00000395673,0.012126,0.000115,392,44493.945125,1,0.00824323455017,0.00881000225231,391
75,40208,10589.991,10789,ENST00000358835,0.00201,6e-06,240,32314.7446705,1,0.00346873778728,0.0074268428765,239
76,52697,5006.991,5206,ENST00000379214,0.000333,2e-06,7,32192.2558542,1,0.000176988736274,0.000217438101976,6
77,21873,367.005,566,ENST00000446930,0.002444,0.000205,35,27847.8418412,1,0.00129596502923,0.00125678335271,34
78,50358,6745.991,6945,ENST00000371959,5.6e-05,0.0,1,21873.8414459,1,2.9108623932e-05,4.57153762337e-05,0
79,64165,1316.991,1516,ENST00000303450,6.3e-05,1e-06,1,20888.5084975,1,3.14355088069e-05,4.78717072887e-05,0
80,85573,1519.991,1719,ENST00000541807,0.0,0.0,1,18510.247258,1,9.42289857113e-06,5.40236207092e-05,0
81,35340,5381.991,5581,ENST00000361368,0.0,0.0,24,17942.8009085,1,0.000167402662279,0.00133757448013,23
82,91012,2213.991,2413,ENST00000535550,0.012388,0.000172,106,17405.0449003,1,0.00688555848309,0.00608979264625,105
83,49929,6000.991,6200,ENST00000297977,0.0,0.0,62,12976.0212895,1,0.000875527554736,0.00477797647594,61
84,31237,4452.991,4652,ENST00000405413,0.000132,1e-06,1,12071.1445559,1,6.36006540666e-05,8.28369169729e-05,0
85,59465,4632.991,4852,ENST00000371097,0.0,0.0,51,11510.6524217,1,0.000470820705349,0.00443063757908,50
86,87087,4034.991,4234,ENST00000586018,0.0,0.0,7,10827.7637997,1,0.00030374711775,0.000646458159078,6
87,14837,1179.991,1379,ENST00000445170,0.000146,4e-06,1,8097.65471315,1,8.10729791471e-05,0.000123482534443,0
88,35620,1972.991,2172,ENST00000241069,0.016764,0.000261,54,7464.16359204,1,0.0091977889997,0.0072333358648,53
89,52771,2391.991,2591,ENST00000379107,0.0,0.0,5,6623.37936097,1,0.000437331618095,0.000754835620294,4
90,37215,5598.991,5798,ENST00000274643,0.003862,2.1e-05,11,5976.88933442,1,0.00217387967832,0.00184005851622,10
91,12387,2043.991,2243,ENST00000361052,0.0,0.0,1,5124.65214152,1,8.70146445022e-05,0.000195118216367,0
92,71990,6467.991,6667,ENST00000339298,0.0,0.0,29,4896.80036573,1,0.000423973288055,0.00592214790492,28
93,54825,3767.991,3967,ENST00000423745,0.004164,3.4e-05,8,4146.05487842,1,0.00186188591438,0.00192909605604,7
94,22674,2679.991,2879,ENST00000409283,0.000421,5e-06,1,3067.56632586,1,0.000223215396746,0.000325918555101,0
95,51613,4280.991,4480,ENST00000397374,0.028832,0.000207,36,3014.57167127,1,0.016820460438,0.0119364153397,35
96,70261,11079.991,11279,ENST00000394232,0.008874,2.5e-05,10,2345.15229249,1,0.0049950345113,0.0042619854572,9
97,79691,3452.991,3652,ENST00000537152,0.180574,0.001609,235,2270.15452401,1,0.12631571264,0.103461540527,234
98,62536,1551.991,1751,ENST00000540510,0.0,0.0,11,2163.9071989,1,0.000360340675437,0.00508323077112,10
99,39152,1372.991,1572,ENST00000372485,0.0,0.0,2,1607.69219951,1,0.000191862704716,0.00124389988202,1
100,78819,10523.991,10723,ENST00000392650,0.001525,4e-06,2,1473.62627603,1,0.0010720506431,0.00135646872065,1
101,91955,6778.991,6978,ENST00000434452,0.0,0.0,8,1190.65397826,1,0.00237981701661,0.00671699782559,7
102,30695,1342.991,1542,ENST00000420433,0.001204,2.8e-05,1,1171.36392519,1,0.000554610561587,0.000853232174858,0
103,49471,5811.991,6011,ENST00000396435,0.006515,3.4e-05,4,1148.04178083,1,0.00395065271432,0.00348075254229,3
104,84315,13079.991,13279,ENST00000565624,0.000309,1e-06,74,1118.39126866,1,0.0411196796627,0.0661297011099,73
105,92043,6322.991,6522,ENST00000283365,0.037929,0.000185,19,1071.13409907,1,0.011603641531,0.0177273754752,18
106,60688,10784.991,10984,ENST00000544455,1.441079,0.004112,552,940.682145668,1,1.01173572808,0.585732669435,550
107,39192,2334.991,2534,ENST00000372163,0.0,0.0,1,721.11949357,1,0.000100173862028,0.00138659381012,0
108,88933,1651.991,1851,ENST00000587539,0.169636,0.00316,36,481.793717709,1,0.106217574892,0.0745003122826,35
109,29771,2362.991,2562,ENST00000340083,0.022861,0.000298,5,460.711150562,1,0.0142198972697,0.010821921928,4
110,58444,439.002,638,ENST00000374098,0.0,0.0,8,433.908931101,1,0.00174254464455,0.0184330325607,7
111,14579,2344.991,2544,ENST00000344697,0.0,0.0,1,420.338290902,1,0.00112916998712,0.00237634983925,0
112,82079,1603.991,1803,ENST00000395224,0.327361,0.006281,40,361.146238249,1,0.209759028786,0.110177642066,39
113,38143,5114.991,5314,ENST00000462446,0.005327,3.2e-05,1,313.944514105,1,0.00305483557518,0.0031755457402,0
114,68481,7018.991,7218,ENST00000560955,1.7e-05,0.0,45,312.444726324,1,0.0223157162355,0.143954051691,44
115,38910,6020.991,6220,ENST00000398904,0.0,0.0,25,253.631129064,1,0.0329464295759,0.0984384435088,24
116,23648,1295.991,1495,ENST00000295079,0.0,0.0,25,214.218809852,1,0.0084770286156,0.116663531968,24
117,23231,82204.991,82404,ENST00000359218,0.0,0.0,14,212.235608376,1,0.0271708183103,0.0658364036486,13
118,48970,4522.991,4722,ENST00000297875,0.059703,0.000406,6,210.4754685,1,0.0411326781368,0.0283114576931,5
119,33377,1717.991,1917,ENST00000331789,639856.884579,11461.859022,804197,194.825148677,1,639769.386698,843.9753,164427
120,39633,2103.991,2303,ENST00000309268,1109005.42984,16221.196261,1316896,187.190754705,1,1109140.49205,1109.85987677,207755
121,90612,339.005,538,ENST00000351841,0.0,0.0,3,186.395969861,1,0.00114049415432,0.0160886499213,2
122,80214,1916.991,2116,ENST00000382862,0.026714,0.000429,4,183.957780758,1,0.0176465391992,0.0216481925602,3
123,52833,11478.991,11678,ENST00000321505,2.322281,0.006226,123,182.586160733,1,1.64893021413,0.66462359085,121
124,43704,6364.991,6564,ENST00000319119,0.001527,7e-06,23,176.516431754,1,0.0449620450322,0.13004476539,22
125,75156,5837.991,6037,ENST00000583535,1.1221,0.005915,54,172.130602691,1,0.790877276077,0.309120643813,53
126,33369,2451.991,2651,ENST00000610122,0.761323,0.009555,37,161.478896406,1,0.5291138517,0.225855433497,36
127,9666,3304.991,3504,ENST00000369429,0.059969,0.000558,6,158.646227908,1,0.0328863824753,0.037612704041,5
128,12459,3863.991,4063,ENST00000367058,0.001592,1.3e-05,162,155.699627844,1,0.207380850158,1.03913298567,161
129,69915,1709.991,1909,ENST00000559187,133624.088425,2404.828061,76399,152.865161247,1,133620.321454,374.325457728,-57221
130,93098,1342.991,1542,ENST00000361624,1019263.0,23356.420222,1149163,138.085653389,1,1019201.92,941.16279867,129961
131,5287,2461.991,2661,ENST00000425496,0.003204,4e-05,74,131.645447091,1,0.134353400383,0.561095337756,73
132,82800,2729.991,2929,ENST00000219235,188231.0,2121.890666,245467,130.833193182,1,188292.2,437.005308892,57174
133,44194,857.991,1057,ENST00000426651,114323.508389,4100.586674,154462,126.166660154,1,114316.27415,318.195994101,40145
134,46279,2023.991,2223,ENST00000518698,0.566498,0.008614,21,123.051761321,1,0.414960018612,0.167287650014,20
135,88694,2159.991,2359,ENST00000598742,145304.797361,2070.241899,193265,120.137960405,1,145341.352588,398.905119171,47923
136,79680,1801.991,2001,ENST00000575087,205094.452452,3502.631036,260436,117.695387692,1,205098.437813,470.1761324,55337
137,52143,4716.991,4916,ENST00000314138,293476.44609,1914.702258,347898,114.29572189,1,293531.382996,475.666246342,54366
138,42025,3388.991,3588,ENST00000297620,0.0,0.0,6,114.014290096,1,0.0265539377263,0.0523920822314,5
139,52062,1196.991,1396,ENST00000529903,0.0,0.0,2,113.293745745,1,0.00125062143429,0.017642186384,1
140,79159,794.998,994,ENST00000397640,6.11577,0.236744,170,112.471308081,1,4.77421119258,1.46904834332,165
141,24196,2912.991,3112,ENST00000491306,528326.840566,5581.572841,605850,108.877619729,1,528323.671687,712.050176213,77526
142,86832,1191.991,1391,ENST00000600147,123868.204947,3198.011379,162546,107.028971175,1,123845.527005,361.588760216,38700
143,37977,1134.991,1334,ENST00000376802,92792.776473,2516.024669,124155,101.312911982,1,92748.538233,309.994660626,31406
144,59052,2614.991,2814,ENST00000440692,159359.698504,1875.432214,200434,99.6775567861,1,159309.609097,412.574226629,41124
145,29427,3820.991,4020,ENST00000359141,9.99177,0.080475,243,98.4657350112,1,7.71059271952,2.38955619692,235
146,66587,712.998,912,ENST00000313104,107775.935966,4651.857645,137778,95.8322450759,1,107744.91625,313.392258797,30033
147,31506,3872.991,4072,ENST00000305046,0.060777,0.000483,3,94.8670837205,1,0.0424920203271,0.0311752808633,2
148,74458,3461.991,3661,ENST00000572293,2e-06,0.0,135,93.1948848588,1,0.195789884811,1.44647649192,134
149,38190,1354.991,1554,ENST00000383329,61501.075771,1396.816718,83687,90.3216853717,1,61526.8855164,245.346556504,22160
150,60628,348.005,547,ENST00000450494,0.0,0.0,1,90.3063535272,1,0.00107323806628,0.011061533579,0
151,5864,1583.991,1783,ENST00000234590,115606.861397,2246.073727,148246,89.1221014776,1,115595.580215,366.356035635,32650
152,84423,2011.991,2211,ENST00000311528,193485.357812,2959.478291,245019,88.7464958583,1,193455.900605,581.015609646,51563
153,48452,1862.991,2062,ENST00000381401,35747.0,590.502766,51143,85.0488652613,1,35722.215,181.316763635,15420
154,93099,485.001,684,ENST00000361739,340293.0,21592.537831,390303,84.485403893,1,340239.73,592.567090801,50063
155,51213,423.003,622,ENST00000449494,58749.171282,4274.160305,78370,82.2680553095,1,58734.6949496,238.674719811,19635
156,82069,1904.991,2104,ENST00000564546,46571.636557,752.35301,64942,81.4891575227,1,46571.3173364,225.437140622,18370
157,13865,1549.991,1749,ENST00000396957,189060.95326,3753.753721,219910,81.1110206337,1,189086.14313,380.020577099,30823
158,59324,4620.991,4820,ENST00000446394,0.019234,0.000128,1,80.9197302265,1,0.00788840409856,0.012260441219,0
159,91912,2146.991,2346,ENST00000400466,0.0,0.0,15,77.9669349464,1,0.0147241579788,0.192200396903,14
160,93102,584.998,784,ENST00000362079,350795.0,18454.050278,396553,75.952178032,1,350741.415,603.163545628,45811
161,62003,1056.991,1256,ENST00000396859,174070.947184,5068.134779,221959,75.6159206618,1,174067.273239,633.355070486,47891
162,89753,461.001,660,ENST00000467825,64261.852062,4289.875337,83986,75.2173968515,1,64316.7798792,261.498282899,19669
163,28468,1249.991,1449,ENST00000353334,95750.79161,2357.374701,126742,74.7343960577,1,95730.298736,414.958879711,31011
164,89638,678.998,878,ENST00000331825,60855.0,2758.167666,78443,71.787413999,1,60853.125,245.02728292,17589
165,80403,678.998,878,ENST00000526586,67420.614833,3055.744965,86972,71.6349687257,1,67406.4189817,273.128911289,19565
166,90547,1417.991,1617,ENST00000402367,87737.969899,1904.176603,113242,71.0913096729,1,87716.5932597,359.051012813,25525
167,38194,1347.991,1547,ENST00000412585,58862.151279,1343.823591,76524,69.9020730321,1,58855.1370433,252.76593655,17668
168,75072,802.991,1002,ENST00000578812,118211.507581,4530.459731,142816,69.4307415074,1,118225.38639,354.174722547,24590
169,55411,511.0,710,ENST00000526608,66370.991228,3997.148748,84418,68.9875524947,1,66366.9680422,261.656361258,18051
170,28476,1399.991,1599,ENST00000401695,138501.7606,3044.55041,164892,68.2266899391,1,138462.874773,387.372232923,26429
171,38193,663.998,863,ENST00000434333,20889.848721,968.191824,33942,68.1224763646,1,20887.1379567,191.638101548,13054
172,33384,2522.991,2722,ENST00000340250,24190.833749,295.072141,34514,67.4331700293,1,24191.5514664,153.076720687,10322
173,79735,2779.991,2979,ENST00000576730,66.889073,0.740466,821,67.2369348031,1,56.2916673877,11.3733372119,764
174,3699,739.998,939,ENST00000215754,19484.25601,810.300691,29000,67.0926747971,1,19482.6829502,141.853295887,9517
175,41616,1854.991,2054,ENST00000381506,0.0,0.0,21,66.3936096234,1,0.0245164647637,0.315926241309,20
176,82056,735.998,935,ENST00000568435,25018.083205,1046.093072,35070,66.04688807,1,25028.9578759,152.028996634,10041
177,74519,340.005,539,ENST00000572383,11750.220216,1063.538627,19966,65.9392417336,1,11749.380302,124.60895033,8216
178,80408,520.0,719,ENST00000527302,31834.964101,1884.05653,44945,65.3662665725,1,31864.4679547,200.111353014,13080
179,38574,740.998,940,ENST00000535465,27958.879635,1161.169598,38497,65.2625021971,1,27965.8710549,161.365693784,10531
180,6997,2023.991,2223,ENST00000294507,63211.0,961.119018,77876,65.0272785457,1,63219.355,225.392255801,14656
181,9985,15490.991,15690,ENST00000369202,180.468116,0.358521,1141,62.3704135638,1,177.546158353,15.4472896137,963
182,93105,1178.991,1378,ENST00000361381,416733.0,10877.786761,455346,60.5909783701,1,416700.845,637.803779367,38645
183,9852,10497.991,10697,ENST00000342960,1088.503485,3.190925,3372,59.9855059093,1,1091.71582886,38.0139191389,2280
184,37278,1428.991,1628,ENST00000380272,0.0,0.0,80,59.7732810339,1,0.102497595858,1.33667586959,79
185,53914,351.005,550,ENST00000530019,20142.914538,1766.044718,27716,59.498850074,1,20158.3957384,127.021013888,7557
186,93096,756.998,956,ENST00000361390,112794.0,4585.474032,131391,59.0349495235,1,112842.95,314.187615128,18548
187,93108,941.991,1141,ENST00000361789,155392.0,5076.624863,177731,58.1787824367,1,155353.195,384.638592675,22377
