,transcript_id,EffectiveLength,NumReads,Length,TPM,eq_param,mean,faulty,count,predict_diff,diff,new_std,new_mean,new_deviation
365,ENST00000426651,857.991,114323.5084,1057,4100.586674,2.0,21.72104341,1,154462,133339.29207,154440.278957,5,133361,4220
380,ENST00000600147,1191.991,123868.2049,1391,3198.011379,3.14285714286,43.452013,1,162546,145230.721706,162502.547987,7,145274,2467
360,ENST00000440692,2614.991,159359.6985,2814,1875.432214,2.5,29.93440092,1,200434,188233.746535,200404.065599,5,188263,2434
452,ENST00000549649,594.998,5204.0,794,269.162451,2.0,1.812683864,1,7435,6083.91278415,7433.18731614,1,6085,1350
461,ENST00000533969,156.013,7986.0,355,1575.293444,2.0,7.444662276,1,11277,8570.24217993,11269.5553377,2,8577,1350
437,ENST00000586656,237.009,14642.39701,436,1901.251246,4.6,7.492233365,1,20213,16294.6975616,20205.5077666,3,16302,1303
415,ENST00000549870,366.005,11725.09695,565,985.875618,6.63636363636,1.843799392,1,14628,13420.2338328,14626.1562006,1,13422,1206
424,ENST00000535465,740.998,27958.87964,940,1161.169598,2.5,24.17805239,1,38497,32546.9770006,38472.8219476,5,32571,1185
502,ENST00000560274,57.798,5719.975966,256,3045.61978,2.0,5.741807129,1,7210,4959.9236472,7204.25819287,2,4965,1122
433,ENST00000534784,537.999,9082.39468,737,519.531136,6.0,4.068900087,1,12514,10563.369446,12509.9310999,2,10567,973
430,ENST00000535859,383.005,11261.19673,582,904.843383,6.85714285714,3.606895766,1,14671,12919.3498327,14667.3931042,2,12922,874
376,ENST00000578812,802.991,118211.5076,1002,4530.459731,5.5,33.13154076,1,142816,137704.923878,142782.868459,6,137738,846
629,ENST00000582463,43.041,1364.792828,239,975.845573,2.66666666667,1.968168188,1,1897,1089.96599295,1895.03183181,1,1091,806
406,ENST00000596046,1320.991,46525.68112,1520,1083.891988,3.7,20.64034479,1,58598,54667.4651846,58577.3596552,5,54688,782
441,ENST00000599561,231.01,34253.71926,430,4563.21369,2.6,30.22497157,1,44147,37896.8122586,44116.7750284,8,37927,777
467,ENST00000484532,250.009,6003.784949,449,739.031156,4.66666666667,2.837521053,1,7519,6761.29169865,7516.16247895,1,6764,755
432,ENST00000565420,602.998,34497.99451,802,1760.640441,3.6,39.4749781,1,44945,39936.3479779,44905.5250219,7,39975,710
511,ENST00000510442,381.005,2717.807701,580,219.523673,3.8,2.083766951,1,3858,3174.91408144,3855.91623305,1,3176,682
447,ENST00000313949,2378.991,13294.18312,2578,171.97366,6.68421052632,4.216442052,1,17550,15776.2296536,17545.7835579,3,15780,590
418,ENST00000589037,386.005,24737.79695,585,1972.247441,3.0,5.684254642,1,29816,28236.5115288,29810.3157454,3,28242,524
480,ENST00000579260,851.991,31375.87382,1051,1133.323798,3.0,82.56568088,1,42436,36568.9269597,42353.4343191,12,36651,482
475,ENST00000549273,836.991,29553.89377,1036,1086.643556,4.5,75.25094943,1,39676,34451.3009394,39600.7490506,11,34526,468
595,ENST00000434333,663.998,20889.84872,863,968.191824,1.5,141.9443004,1,33942,24141.5950267,33800.0556996,21,24283,459
469,ENST00000428193,374.005,17570.22254,573,1445.749896,6.7,29.14872575,1,22796,20051.4703995,22766.8512742,6,20080,452
457,ENST00000526586,678.998,67420.61483,878,3055.744965,4.26666666667,193.0028005,1,86972,78099.6954265,86778.9971995,20,78292,434
479,ENST00000376802,1134.991,92792.77647,1334,2516.024669,4.33333333333,195.5917016,1,124155,108583.640611,123959.408298,36,108779,427
520,ENST00000432093,768.998,14735.16058,968,589.688473,7.27272727273,9.490486314,1,20619,17239.0126744,20609.5095137,8,17248,421
517,ENST00000546623,342.005,23514.92701,541,2115.942308,4.875,56.60992908,1,31623,26655.8742733,31566.3900709,12,26712,409
451,ENST00000402367,1417.991,87737.9699,1617,1904.176603,3.57142857143,204.9934412,1,113242,102942.314531,113037.006559,25,103147,403
448,ENST00000344700,451.002,35143.72413,650,2398.07124,2.66666666667,31.70590075,1,43697,40307.009282,43665.2940993,9,40338,373
599,ENST00000598261,108.016,7947.874417,307,2264.418115,3.75,29.49267737,1,10238,8084.3819726,10208.5073226,6,8113,354
495,ENST00000466397,542.999,24802.93949,742,1405.713466,3.84615384615,28.25905416,1,32397,28650.6489896,32368.7409458,11,28678,338
519,ENST00000383329,1354.991,61501.07577,1554,1396.816718,3.8,130.0555006,1,83687,72158.1622677,83556.9444994,34,72288,335
523,ENST00000600794,153.013,7114.846344,352,1430.968218,1.5,7.786238537,1,8633,7621.3768744,8625.21376146,3,7629,334
463,ENST00000553213,239.009,22372.13863,438,2880.617098,5.0,12.24920112,1,26868,24865.6338132,26855.7507989,6,24877,331
416,ENST00000556645,2308.991,32010.48628,2508,426.641512,11.3191489362,6.471301999,1,39181,37890.8373392,39174.528698,4,37897,321
510,ENST00000373570,294.007,27465.48519,493,2874.897096,1.5,127.4875056,1,34965,30779.9978833,34837.5124944,13,30907,312
566,ENST00000418389,2206.991,8846.436261,2406,123.356168,3.5,41.38956285,1,12369,10461.8320339,12327.6104372,6,10503,311
622,ENST00000598959,302.007,2686.387788,501,273.74387,3.14285714286,3.6848479,1,3714,3097.89246397,3710.3151521,2,3101,306
470,ENST00000378019,1431.991,71415.19853,1631,1534.770617,1.5,100.0993094,1,91531,83866.5450248,91430.9006906,25,83966,302
491,ENST00000576930,1239.991,25227.05655,1439,626.096362,6.375,15.68958771,1,32942,29668.0982219,32926.3104123,11,29683,296
569,ENST00000589331,338.005,1584.0,537,144.219707,3.14285714286,1.152784119,1,2149,1871.17551231,2147.84721588,1,1872,277
531,ENST00000552984,375.005,9140.951869,574,750.149249,6.4,11.75509296,1,11870,10485.0482694,11858.244907,5,10496,274
570,ENST00000599705,208.01,12615.48321,407,1866.430279,3.66666666667,18.92603386,1,16099,13889.6766099,16080.0739661,8,13908,273
473,ENST00000435145,1826.991,4535.983407,2026,76.40612,2.5,1.451609762,1,5670,5404.83934591,5668.54839024,1,5406,264
540,ENST00000531743,498.0,20666.812,697,1277.135148,4.26315789474,54.04311249,1,26983,23793.1906559,26928.9568875,12,23847,261
492,ENST00000579344,1674.991,27645.84378,1874,507.93773,2.0,30.75422274,1,35333,32566.1389773,35302.2457773,11,32596,248
1302,ENST00000408996,3309.991,58.304613,3509,0.542087,3.28571428571,0.088406948,1,373,126.329723371,372.911593052,1,126,247
704,ENST00000415719,630.998,10551.18127,830,514.595498,6.33333333333,69.20549727,1,16276,12247.8894819,16206.7945027,16,12317,247
455,ENST00000412128,663.998,24023.82553,863,1113.443749,4.1,8.986239448,1,29407,27928.0296275,29398.0137606,6,27937,245
488,ENST00000537635,1484.991,15181.65813,1684,314.621574,3.0,2.966519863,1,19315,17911.7065611,19312.0334801,6,17914,233
