,EffectiveLength,Length,transcript_id,NumReads,TPM,count,deviation,faulty,mean,std
84385,3951.991,4151,ENST00000436887,1682.949637,13.105338,2304,2.97248E+12,1,5.49E-11,7.75E-10
75894,6652.991,6852,ENST00000389003,2524.897299,11.679381,3042,2.09756E+12,1,1.03E-10,1.45E-09
61997,2644.991,2844,ENST00000382457,4915.597872,57.193308,6150,1.71765E+12,1,2.54E-10,3.58E-09
20786,8495.991,8695,ENST00000357308,3621.213266,13.116957,4203,1.34788E+12,1,2.21E-10,3.12E-09
1324,5017.991,5217,ENST00000499879,2380.933354,14.601935,2978,1.20753E+12,1,1.75E-10,2.47E-09
58456,3093.991,3293,ENST00000374082,2361.047208,23.484358,2330,1.06688E+12,1,2.19E-10,2.18E-09
75481,2177.991,2377,ENST00000578558,3231.733286,45.663849,4286,1.04066E+12,1,2.92E-10,4.12E-09
12525,2131.991,2331,ENST00000367024,1532.106648,22.115497,1826,9.8115E+11,1,1.79E-10,1.86E-09
39744,7411.991,7611,ENST00000237163,608,2.524421,641,8.83718E+11,1,5.14E-11,7.25E-10
43801,3064.991,3264,ENST00000433501,741,7.440156,915,7.15919E+11,1,9.06E-11,1.28E-09
5683,1631.991,1831,ENST00000378290,453.880311,8.558875,643,5.2576E+11,1,8.67E-11,1.22E-09
69338,1173.991,1373,ENST00000545878,1010,26.47584,1293,4.42822E+11,1,2.07E-10,2.92E-09
13921,6334.991,6534,ENST00000454876,1409,6.844757,1727,3.92956E+11,1,5.05E-10,4.39E-09
76774,337.005,536,ENST00000447024,686.661636,62.704535,776,2.99682E+11,1,1.84E-10,2.59E-09
16355,554.999,754,ENST00000475322,154.434753,8.56339,188,2.60596E+11,1,5.11E-11,7.21E-10
27639,1960.991,2160,ENST00000355372,740.015957,11.613378,850,2.3843E+11,1,2.53E-10,3.56E-09
11248,1742.991,1942,ENST00000540521,3068.119732,54.171425,3526,2.27093E+11,1,1.10E-09,1.55E-08
75141,7833.991,8033,ENST00000323816,2730.183082,10.72511,3228,2.19331E+11,1,2.75E-09,1.47E-08
68246,7088.991,7288,ENST00000535302,5116.856447,22.213237,5320,2.01423E+11,1,1.87E-09,2.64E-08
56381,2040.991,2240,ENST00000483239,133.773636,2.017077,145,1.94777E+11,1,5.28E-11,7.44E-10
85105,1378.991,1578,ENST00000596722,175.846277,3.924324,323,1.77628E+11,1,2.22E-10,1.82E-09
68253,1750.991,1950,ENST00000434130,141.972531,2.495247,191,1.31852E+11,1,1.45E-10,1.45E-09
13383,8551.991,8751,ENST00000366508,1319.578856,4.748551,1650,1.25421E+11,1,1.94E-09,1.32E-08
20080,1973.991,2173,ENST00000407341,1401.370559,21.847458,1981,1.08E+11,1,1.52E-09,1.83E-08
4785,4186.991,4386,ENST00000406644,91.709939,0.674074,110,96673938916,1,8.07E-11,1.14E-09
26938,3663.991,3863,ENST00000500869,82.369784,0.691841,75,94369302780,1,5.63E-11,7.95E-10
87962,1842.991,2042,ENST00000588311,137.165053,2.290411,149,89013050042,1,2.36E-10,1.67E-09
82056,735.998,935,ENST00000568435,25018.08321,1046.093072,35070,79122169524,1,3.14E-08,4.43E-07
57050,1227.991,1427,ENST00000442061,237.629753,5.955233,324,75132651849,1,3.06E-10,4.31E-09
18393,4847.991,5047,ENST00000437079,1040,6.601834,1110,71622991531,1,1.63E-09,1.55E-08
83687,3034.991,3234,ENST00000417828,248.651191,2.52131,316,68599862323,1,3.27E-10,4.61E-09
2994,7097.991,7297,ENST00000468090,530.129945,2.298476,801,68167946749,1,1.92E-09,1.18E-08
9819,3368.991,3568,ENST00000440491,257.915213,2.355972,311,52414730043,1,5.29E-10,5.93E-09
66878,3591.991,3791,ENST00000392439,108.984541,0.933733,149,50595959488,1,2.09E-10,2.94E-09
74726,599.998,799,ENST00000583312,649.476235,33.312418,963,50491212411,1,1.35E-09,1.91E-08
54033,390.005,589,ENST00000533671,354,27.933579,436,48073536897,1,6.43E-10,9.07E-09
68826,11680.991,11880,ENST00000561311,58.239437,0.153437,68,41443132179,1,1.98E-10,1.64E-09
258,2175.991,2375,ENST00000424750,245.273063,3.468853,286,39761694862,1,5.10E-10,7.19E-09
72304,2429.991,2629,ENST00000549115,822.158136,10.41223,1355,39344451752,1,4.72E-09,3.44E-08
3568,6740.991,6940,ENST00000443632,0,0,59,38526735217,1,1.47E-10,1.53E-09
76408,2447.991,2647,ENST00000394359,32.89535,0.41354,36,37913160711,1,6.73E-11,9.50E-10
40174,3727.991,3927,ENST00000368932,283.140067,2.337327,423,27997256656,1,6.53E-09,1.51E-08
52869,3236.991,3436,ENST00000531159,1840.773632,17.50056,2164,27484307257,1,5.63E-09,7.87E-08
10828,5533.991,5733,ENST00000353795,400.526594,2.227337,749,24920776147,1,3.01E-09,3.01E-08
