,transcript_id,EffectiveLength,NumReads,Length,TPM,eq_param,mean,faulty,count,predict_diff,diff,new_std,new_mean,new_deviation
3162,ENST00000293829,2863.991,868.417606,3063,9.331469,3.0,868.736618436,1,1274,260.486354473,,52,1129,2
3176,ENST00000376442,3245.991,784.826832,3445,7.440799,1.5,789.707943199,1,1124,234.486498725,227.455,43,1024,2
1984,ENST00000570172,296.007,1264.955041,495,131.51213,4.26666666667,1261.69929065,1,1614,281.360212867,452.791077454,32,1543,2
4280,ENST00000393160,3601.991,925.35273,3801,7.906017,4.44444444444,909.65778934,1,1393,279.053990846,133.02,78,1188,2
1546,ENST00000396958,836.991,742.0,1036,27.282006,3.0,740.099885739,1,1041,246.087289428,537.162059378,24,986,2
1534,ENST00000369126,1609.991,2052.920378,1809,39.241153,2.75,2052.67289729,1,2636,470.803112086,565.291360117,46,2523,2
1883,ENST00000530560,359.005,1472.062968,558,126.188154,5.0,1475.60380643,1,1894,321.515641521,481.254293351,37,1797,2
1539,ENST00000430952,1561.991,1492.0,1761,29.395673,4.8,1494.06,1,1975,380.436314782,1290.93078331,38,1874,2
1606,ENST00000592312,1086.991,1203.736675,1286,34.07993,4.83333333333,1204.6098079,1,1621,329.37974162,481.027258645,34,1533,2
4274,ENST00000366791,278.007,662.584867,477,73.346343,4.0,661.914476665,1,967,207.960075235,296.672253852,49,869,2
1540,ENST00000230340,1829.991,1192.0,2029,20.045662,6.85714285714,1193.83,1,1610,336.333699174,992.685,33,1530,2
3163,ENST00000529168,3385.991,2720.910358,3585,24.729851,2.66666666667,2729.41561787,1,3514,581.480760218,,100,3310,2
2192,ENST00000368881,1133.991,1562.93986,1333,42.415618,3.33333333333,1564.38776636,1,2047,383.828173084,327.095,47,1948,2
1603,ENST00000575458,2459.991,1526.0,2659,19.090359,3.5,1526.29636817,1,2002,381.231857409,646.55618819,39,1907,2
1597,ENST00000409500,688.998,2300.0,888,102.731297,3.0,2297.755,1,2919,483.726528022,638.658286365,51,2781,2
3536,ENST00000341114,2149.991,2133.290936,2349,30.535605,6.75,2130.0250925,1,2989,502.559907778,99.1445307743,120,2632,2
1978,ENST00000540159,1407.991,1876.843807,1607,41.022429,1.0,1874.81347144,1,2445,433.67555784,422.209933219,53,2308,2
2596,ENST00000398595,1444.991,1085.249777,1644,23.113072,8.16666666667,1079.84629686,1,1501,327.167192551,390.992339799,46,1407,2
6707,ENST00000433931,4652.991,71.583649,4852,0.473451,2.0,64.4948069729,1,272,102.008308726,77.2389502354,52,166,2
1601,ENST00000322444,3435.991,1892.0,3635,16.945804,5.6,1889.265,1,2462,450.070836143,564.315,47,2339,2
1886,ENST00000368235,925.991,1918.051502,1125,63.74508,2.66666666667,1917.40538321,1,2478,435.59614281,851.909616618,50,2353,2
2010,ENST00000504124,596.998,3481.827596,796,179.484554,4.28571428571,3476.99802747,1,4376,656.242029796,599.684344106,84,4133,2
2031,ENST00000417689,3668.991,1289.23518,3868,10.813806,2.66666666667,1287.76943963,1,1699,329.121749466,455.28868124,38,1616,2
2014,ENST00000589627,497.001,399.756712,696,24.753233,2.5,401.453288615,1,641,184.03935833,,22,585,2
2002,ENST00000229829,3289.991,2072.775551,3489,19.388786,2.0,2067.79626311,1,2648,471.50940041,631.30718042,54,2539,2
1918,ENST00000532090,4611.991,604.0,4811,4.030339,2.0,602.475,1,854,195.278537386,1132.96770661,23,797,2
1573,ENST00000371248,1888.991,1474.24527,2088,24.017785,2.0,1475.32786689,1,1921,368.034464383,1155.76359567,36,1843,2
1572,ENST00000431809,1545.991,751.0,1745,14.94948,4.0,749.875,1,1071,252.429245794,913.37228264,26,1002,2
1937,ENST00000333628,1395.991,1736.595271,1595,38.283278,2.0,1736.27234382,1,2268,412.394122523,,48,2148,2
3290,ENST00000588161,1409.991,407.192164,1609,8.88743,4.84615384615,403.547318354,1,693,198.880037932,187.647390137,38,602,2
1921,ENST00000311403,5756.991,1744.999846,5956,9.328093,1.5,1747.41154917,1,2252,387.26089543,519.476036913,46,2134,2
1568,ENST00000429837,1247.991,1995.873999,1447,49.216962,7.90909090909,1995.39291381,1,2563,475.77036301,,46,2471,2
1922,ENST00000271628,1885.991,1673.700229,2085,27.310594,4.0,1672.8863269,1,2178,411.018646151,687.835,46,2083,2
1934,ENST00000306384,490.001,1355.0,689,85.10119,2.66666666667,1354.185,1,1745,321.059216923,543.67,35,1675,2
