,EffectiveLength,Length,Name,NumReads,TPM,count,deviation,mean,std
78705,417.003,616,ENST00000592568,93.029245,6.86551,115,1.9999238539036897,92.84454768977906,11.078147933970229
31663,3849.991,4049,ENST00000394728,453.216037,3.622752,532,1.9993823252758134,430.91722008007986,50.55700385166496
39169,1376.991,1576,ENST00000372422,301.673269,6.742157,366,1.9991614976687664,301.24800454923997,32.38957709333023
9365,435.002,634,ENST00000602318,409.11563,28.943269,260,1.9990999619598127,406.94204639119494,73.50410143930004
87414,1607.991,1807,ENST00000357943,160.726025,3.076066,200,1.9986502521598035,161.79351408338505,19.11614394530901
47389,673.998,873,ENST00000534247,107.735861,4.919201,128,1.9986257379622234,105.90034667661303,11.057424561098435
65774,590.998,790,ENST00000548392,3.049408,0.15879,9,1.9985120415014261,3.0197029405746503,2.9923747944658468
23651,342.005,541,ENST00000428692,147.0,13.227492,170,1.9978480406209937,147.21,11.407273995131355
82797,250.009,449,ENST00000564018,19.0,2.33879,28,1.9967377341224306,18.78,4.617531808228287
59584,5237.991,5437,ENST00000543621,263.294754,1.546929,312,1.9966487894685272,264.584121970505,23.74773083758825
72304,2429.991,2629,ENST00000549115,822.158136,10.41223,1355,1.99655588055878,805.3004563132741,275.323896034846
85160,367.005,566,ENST00000602161,25.129187,2.107168,42,1.9964541551965578,26.544576014150945,7.741436959932304
31367,358.005,557,ENST00000502870,38.0,3.266534,50,1.995672826947464,38.245,5.890244052668786
36071,380.005,579,ENST00000434836,343.998159,27.858653,388,1.995583861593981,344.8993722078151,21.59800378309239
83898,1075.991,1275,ENST00000283882,205.0,5.863249,234,1.9955034327932406,204.95,14.557729905448857
21871,6965.991,7165,ENST00000329516,7.057651,0.03118,54,1.995340511276161,16.908286497266978,18.58916475314294
52563,1500.991,1700,ENST00000530496,371.577617,7.618414,419,1.9952353242332772,373.7364592138698,22.68581567115344
3704,464.001,663,ENST00000609736,18.0,1.193842,26,1.995145205911718,18.155,3.9320446335208383
9930,2526.991,2726,ENST00000431239,1497.468462,18.236734,1630,1.9949144991666092,1489.5664709635996,70.39576337485519
90937,4716.991,4916,ENST00000333201,305.473538,1.992974,340,1.9944959588152258,301.0588717412699,19.524295392336604
21549,1437.991,1637,ENST00000264255,942.912937,20.179414,1006,1.9942134946523378,940.9508306726149,32.61895955564452
87590,5102.991,5302,ENST00000601776,8.0,0.048246,13,1.9941022667277848,7.805,2.605182335269453
82737,5367.991,5567,ENST00000438926,202.015406,1.158153,255,1.99387061937618,201.612879173335,26.775619394686792
78265,1713.991,1913,ENST00000443572,594.0,10.665249,640,1.9938144740564212,591.87,24.139658241159907
79112,352.005,551,ENST00000586607,248.760227,21.748274,304,1.993476187847405,249.14036303500507,27.51958478331936
46575,653.998,853,ENST00000417663,474.570922,22.331484,518,1.9934164908467789,473.89680758254997,22.124424383945744
42981,2765.991,2965,ENST00000375242,330.234065,3.674212,366,1.9933559280673332,326.52375595885,19.803911326274953
44359,514.0,713,ENST00000371720,100.995906,6.046911,119,1.992884194940954,100.86133276659295,9.101716637350556
46928,397.004,596,ENST00000545282,175.0,13.565501,202,1.9926837681066207,176.65,12.721536856842413
66100,3542.991,3742,ENST00000257548,8.740286,0.075919,17,1.9924747109363936,8.4683546157793,4.2819340879920755
59586,6272.991,6472,ENST00000342239,125.469445,0.61554,215,1.9921835624348365,123.72419742009848,45.816964009252594
19201,8639.991,8839,ENST00000454224,111.460522,0.397009,131,1.9920459402794377,110.96289684583253,10.058554749674462
27103,1384.991,1584,ENST00000597120,66.049632,1.46763,90,1.991349854851627,65.65976110137301,12.222984745410571
7211,4116.991,4316,ENST00000361328,98.0,0.732553,118,1.9911443364720915,97.53,10.28052041484282
40335,1025.991,1225,ENST00000368573,8.269398,0.248041,23,1.9911365810855797,7.462818393284452,7.8031721953722455
39966,4912.991,5112,ENST00000369239,151.606544,0.949653,188,1.9910298804347,150.96670325878355,18.60007080010823
6512,1655.991,1855,ENST00000400239,166.794879,3.099687,195,1.9902284306989255,166.6098598568849,14.264764639677615
22069,750.998,950,ENST00000409877,100.609056,4.12279,130,1.9901844101167205,99.13286409287349,15.509686313599557
64504,285.007,484,ENST00000551286,103.49162,11.174867,132,1.9901556722782519,103.05129598493453,14.545949554753241
75828,652.998,852,ENST00000585313,245.789428,11.583618,284,1.9897376087251493,245.42872545062994,19.38510604626063
58901,2221.991,2421,ENST00000299432,24.39073,0.337812,37,1.989434851456616,22.622402356529538,7.22697585846731
55179,1933.991,2133,ENST00000543042,36.264652,0.577062,57,1.9891924684718132,35.06082225716161,11.029188020047677
56833,1729.991,1929,ENST00000533709,598.0,10.637766,653,1.9887651440890801,600.845,26.224816014607235
9808,569.999,769,ENST00000418974,112.927052,6.097009,135,1.9877747011570956,113.61530929596744,10.758105881710039
26313,1878.991,2078,ENST00000381070,1539.0,25.206179,1608,1.9873010409558642,1538.345,35.050049572004895
75510,1402.991,1602,ENST00000583322,24.848548,0.545054,36,1.9870922874049692,23.221741465888858,6.430631639559544
59263,3984.991,4184,ENST00000371927,130.927616,1.011107,156,1.9861534245256942,128.4618777679835,13.86505286649382
18442,2952.991,3152,ENST00000382164,90.676292,0.944985,141,1.9861210944527714,87.69551445312064,26.838487187794634
29710,3883.991,4083,ENST00000502458,333.413591,2.641789,380,1.9859700718670794,334.36313713708995,22.9796327293116
28436,2229.991,2429,ENST00000515406,126.025586,1.739197,147,1.9858572907207281,126.21826038198903,10.464870620420387
56876,353.005,552,ENST00000528306,33.0,2.876907,44,1.985815895147298,33.095,5.491445620235164
85998,1743.991,1943,ENST00000591179,43.0,0.758783,57,1.985294947281388,43.095,7.003997073100474
46980,3547.991,3747,ENST00000251809,305.099257,2.646377,360,1.9852655451236274,292.9327188971501,33.782524089830744
76624,2537.991,2737,ENST00000300658,55.741336,0.675897,92,1.9852290961893255,54.4629605964465,18.908165045337267
87179,337.005,536,ENST00000594110,24.865223,2.270641,35,1.984881268260893,24.542993259867163,5.268328593425149
85428,1358.991,1558,ENST00000576789,42.535219,0.963219,55,1.9845586129183945,42.148079298336995,6.475959247564677
66592,314.007,513,ENST00000550795,14.941161,1.464328,25,1.9840481901623668,15.141848008086697,4.968705921959764
86964,6590.991,6790,ENST00000338797,34.177723,0.159583,48,1.9840331895397392,34.10508644944549,7.003367495973134
33438,607.998,807,ENST00000483589,111.500464,5.643743,157,1.9838297903731148,110.8263343999894,23.275013725510362
32409,406.004,605,ENST00000508611,236.0,17.888543,264,1.9836466823910976,233.745,15.252212134638043
15596,2417.991,2617,ENST00000482387,102.422456,1.303568,124,1.9828143027761564,101.04799406541402,11.575469221928987
82458,475.001,674,ENST00000565072,17.023368,1.102921,24,1.9827007787367392,16.783674660331748,3.6396441747836867
90288,426.003,625,ENST00000598192,35.732137,2.581306,48,1.9826149784304217,35.583323961421996,6.262777278323562
84110,260.007,459,ENST00000564998,37.0,4.379347,49,1.982238547973365,36.665,6.222762650141815
72066,1615.991,1815,ENST00000431972,785.0,14.949402,842,1.9821182880774175,784.11,29.206127781683087
50996,1430.991,1630,ENST00000440023,200.097784,4.303269,253,1.9820356546611888,198.2986394679999,27.598575435995784
14603,349.005,548,ENST00000605537,1.0,0.088178,3,1.9815172131644605,1.04,0.9891410415102588
