,EffectiveLength,Length,transcript_id,NumReads,TPM,count,deviation,faulty,mean,std
38625,1952.991,2152,ENST00000414083,0.0,0.0,90,33734558544.7803,1,1.891215157475e-10,2.6678872907242017e-09
9953,3209.991,3409,ENST00000369226,0.0,0.0,18,18249516602.509132,1,6.9918902336e-11,9.863274952419976e-10
10832,1805.991,2005,ENST00000368236,0.0,0.0,50,9409785900.117271,1,1.0929605236799997e-09,5.313617177866279e-09
50097,4529.991,4729,ENST00000543253,0.0,0.0,16,6299056190.453505,1,4.03106223653e-10,2.5400630691063834e-09
59670,5934.991,6134,ENST00000370187,0.0,0.0,78,3377697556.5361986,1,1.63699481863e-09,2.3092653706494484e-08
50096,5780.991,5980,ENST00000537097,0.0,0.0,19,2066194828.2692273,1,1.4685804724325e-09,9.195647834646356e-09
51036,1782.991,1982,ENST00000334497,0.0,0.0,6,1901359120.0344546,1,2.236972061235e-10,3.155637426173114e-09
71547,2127.991,2327,ENST00000556994,0.0,0.0,39,1821520674.534123,1,6.012764940866501e-09,2.1410682041235675e-08
7062,5203.991,5403,ENST00000373658,0.0,0.0,16,1421881577.2226324,1,2.9501919176859995e-09,1.1252695198641422e-08
43533,976.991,1176,ENST00000373723,0.0,0.0,5,1230760112.3411572,1,2.8798512312e-10,4.062530097925414e-09
547,4635.991,4835,ENST00000338121,0.0,0.0,16,1152955474.6324449,1,3.8865503167215e-09,1.3877378917181647e-08
3157,2953.991,3153,ENST00000357838,0.0,0.0,3,1118529657.7415009,1,3.1781478492e-10,2.682092494301572e-09
29970,297.007,496,ENST00000510712,0.0,0.0,2,494431493.4919481,1,6.31862993269e-10,4.04504977068316e-09
12695,4853.991,5053,ENST00000366929,0.0,0.0,6,477406103.26448756,1,3.738268101174e-09,1.256791640331769e-08
76411,3189.991,3389,ENST00000535446,0.0,0.0,5,270863616.7692745,1,1.3085574454000001e-09,1.8459474396483873e-08
41317,8033.991,8233,ENST00000366882,0.0,0.0,6,247361365.0818066,1,7.997412449253e-09,2.4256010998396156e-08
42009,5624.991,5824,ENST00000345050,0.0,0.0,83,233967335.42329058,1,1.4965539514122297e-07,3.547503744494167e-07
38578,6009.991,6209,ENST00000374708,0.0,0.0,7,222788000.0816725,1,1.1215210827790004e-08,3.142000460625635e-08
71310,3204.991,3404,ENST00000554068,0.0,0.0,4,203806126.35737488,1,5.1536292672874986e-09,1.962649536762381e-08
29078,3868.991,4068,ENST00000261944,0.0,0.0,2,199953528.01128644,1,2.2239411615805e-09,1.0002324128350303e-08
79064,1193.991,1393,ENST00000578363,0.0,0.0,2,191839611.38842726,1,3.0031697477484996e-09,1.0425375565150255e-08
56475,795.998,995,ENST00000514294,0.0,0.0,6,190969168.76617587,1,1.19276247349995e-08,3.141868410925966e-08
46387,3837.991,4037,ENST00000602969,0.0,0.0,83,184687230.5777578,1,9.991766422694e-08,4.494084384742415e-07
32443,6383.991,6583,ENST00000511601,0.0,0.0,8,129620205.9224792,1,2.5994513572521986e-08,6.171877229380406e-08
36303,8988.991,9188,ENST00000325888,0.0,0.0,4,112688442.64225386,1,1.4025428847369005e-08,3.549609784450712e-08
42008,6026.991,6226,ENST00000379166,1e-06,0.0,134,85655448.94436322,1,7.908697649199578e-07,1.5644071785341853e-06
42307,598.998,798,ENST00000586273,0.0,0.0,10,72962093.32696497,1,5.82584668606605e-08,1.3705747033502098e-07
2163,7471.991,7671,ENST00000400202,0.0,0.0,10,65104486.89923538,1,7.829319798406751e-08,1.535992432777202e-07
19404,920.991,1120,ENST00000355549,0.0,0.0,4,58217007.191960275,1,4.87061247795e-09,6.870844428570668e-08
52782,2414.991,2614,ENST00000379129,0.0,0.0,1,57211734.06340513,1,4.632108797264e-09,1.747893175654556e-08
41044,6087.991,6287,ENST00000354675,0.0,0.0,8,47482999.21778483,1,5.406831288812051e-08,1.6848135285724064e-07
61545,6674.991,6874,ENST00000356711,0.0,0.0,6,43464546.99126141,1,4.8245016899579494e-08,1.380435404736023e-07
8910,4422.991,4622,ENST00000409154,0.0,0.0,7,39043464.490841754,1,1.0052972836183303e-07,1.7928736577954627e-07
2122,5414.991,5614,ENST00000536311,0.0,0.0,1,32177131.562810343,1,1.22330200684165e-08,3.10779718140805e-08
24297,3032.991,3232,ENST00000450993,0.0,0.0,15,29922790.820275757,1,1.1231195774136304e-07,5.012901362637607e-07
