,EffectiveLength,Length,Name,NumReads,TPM,count,deviation,mean,std
39876,1145.991,1345,ENST00000354922,54.731863,1.4697790000000002,51,1.9996555327122367,36.8195809868545,7.091430889555195
22333,381.005,580,ENST00000609270,5.0,0.403862,5,1.999251173303951,2.0384537884912,1.4813277346310447
68087,376.005,575,ENST00000562398,47.914509,3.9216309999999996,50,1.9990328717656514,33.08225170179899,8.462966536042183
13173,1652.991,1852,ENST00000366606,797.6613480000001,14.850503,905,1.9980172456574257,808.7639750607855,48.16576290739128
34517,3350.991,3550,ENST00000429591,32.740403,0.30068,42,1.9975410881602254,30.898369504420472,5.5576481311853
80040,337.005,536,ENST00000199708,1.0,0.091318,1,1.9964101473076759,4.975,1.9910738308761933
53608,3288.991,3488,ENST00000343597,701.917572,6.567748,735,1.9963946717568195,866.0788302246501,65.65777402586497
88716,3060.991,3260,ENST00000602133,4.7255709999999995,0.047510000000000004,8,1.996290082335493,1.9427687333095007,3.0342440311099694
90563,1690.991,1890,ENST00000396365,5.13589,0.09346900000000001,3,1.9954106806564753,14.94565113709205,5.9865626925290485
11218,574.998,774,ENST00000367974,5.0,0.267606,5,1.9951234529029405,2.075,1.4660746911395746
58434,3183.991,3383,ENST00000432695,0.0,0.0,2,1.9925668577944142,48.33809416470622,23.255477718824537
49609,2163.991,2363,ENST00000337990,4.747493,0.06751499999999999,25,1.9922770464028239,10.266839385159454,7.39513645526467
12139,2129.991,2329,ENST00000441932,108.00053600000001,1.560419,133,1.9904740962369343,111.99661641580553,10.551950223266983
92867,711.998,911,ENST00000578780,191.79990800000002,8.290153,182,1.989510852702754,151.69265305612004,15.233567036192529
46645,4664.991,4864,ENST00000521271,1624.848388,10.71902,1844,1.9888366106548792,2079.0101079844007,118.16461278185
58697,1444.991,1644,ENST00000539557,95.372007,2.031182,94,1.9886484625411687,118.34762601124343,12.243303162858224
19642,376.005,575,ENST00000433584,1.657227,0.135638,1,1.9885581245393338,0.13576344594777257,0.4346046230116784
6613,12.989,171,ENST00000579103,1.4183059999999998,3.360492,4,1.9884140482006765,0.5733116714419613,1.7233273581319053
20615,1863.991,2063,ENST00000398544,23.973481,0.395804,43,1.9869044126714068,23.40111385136363,9.864030712119428
63845,1308.991,1508,ENST00000548108,216.51696800000002,5.090358999999999,288,1.986330497201193,227.39149319774498,30.51280080915762
42008,6026.991,6226,ENST00000379166,1e-06,0.0,134,1.9858383069337557,54.42042328328037,40.07354296614154
