,EffectiveLength,Length,Name,NumReads,TPM,count,deviation,mean,std
84385,3951.991,4151,ENST00000436887,1682.9496370000002,13.105338,2304,2972480252974.0405,5.4946110901999996e-11,7.751102796039556e-10
75894,6652.991,6852,ENST00000389003,2524.8972989999997,11.679381,3042,2097564986769.5396,1.0280571230149999e-10,1.4502530406387467e-09
61997,2644.991,2844,ENST00000382457,4915.597872,57.193307999999995,6150,1717652943902.4534,2.53812589224e-10,3.5804671844983657e-09
20786,8495.991,8695,ENST00000357308,3621.2132659999997,13.116957000000001,4203,1347879116808.1372,2.2104561659099998e-10,3.1182321527116976e-09
1324,5017.991,5217,ENST00000499879,2380.933354,14.601935000000001,2978,1207528460463.8423,1.7482389008900001e-10,2.466194460423649e-09
58456,3093.991,3293,ENST00000374082,2361.047208,23.484358,2330,1066875986293.5518,2.1867785813449999e-10,2.1839464285764512e-09
75481,2177.991,2377,ENST00000578558,3231.733286,45.663849,4286,1040656578173.5144,2.9195653094300006e-10,4.118553699552053e-09
12525,2131.991,2331,ENST00000367024,1532.106648,22.115497,1826,981150440473.5752,1.7902584984399996e-10,1.861080548583823e-09
39744,7411.991,7611,ENST00000237163,608.0,2.524421,641,883718492489.1506,5.14182803995e-11,7.253441061241775e-10
43801,3064.991,3264,ENST00000433501,741.0,7.440156,915,715919102934.1122,9.060050219700002e-11,1.2780773641182182e-09
5683,1631.991,1831,ENST00000378290,453.880311,8.558875,643,525759810395.1439,8.669559860000001e-11,1.2229919200493006e-09
69338,1173.991,1373,ENST00000545878,1010.0,26.47584,1293,442821674413.324,2.069870223245e-10,2.91991127514893e-09
13921,6334.991,6534,ENST00000454876,1409.0,6.844757,1727,392955583706.69183,5.04933322836e-10,4.394898740740518e-09
76774,337.005,536,ENST00000447024,686.661636,62.704535,776,299681720182.6073,1.835586817745e-10,2.589413860568374e-09
16355,554.999,754,ENST00000475322,154.434753,8.56339,188,260595867363.37833,5.1140360701000005e-11,7.214235663138863e-10
27639,1960.991,2160,ENST00000355372,740.0159570000001,11.613377999999999,850,238430275523.39795,2.5271498048400003e-10,3.5649835077942273e-09
