,transcript_id,EffectiveLength,NumReads,Length,TPM,eq_param,mean,faulty,count,predict_diff,diff,new_std,new_mean,new_deviation
8615,ENST00000543341,3129.991,1029.096374,3329,10.118264,3.625,727.5098762,1,1351,543.940064427,623.4901238,33,1271,2
8623,ENST00000372014,756.998,1953.0,956,79.39634,1.0,1611.485,1,2441,706.567385415,829.515,44,2318,2
5322,ENST00000311672,405.004,10831.0,604,823.004862,1.0,8760.495,1,12592,3581.05554465,3831.505,100,12341,2
15490,ENST00000369484,907.991,917.933076,1107,31.111622,1.66666666667,1078.683625,1,1212,47.9473559932,133.316375,32,1126,2
8556,ENST00000358337,3880.991,1143.445468,4080,9.067047,1.5,901.4987765,1,1447,483.534401961,545.5012235,29,1385,2
5984,ENST00000354895,701.998,967.643177,901,42.420159,4.08333333333,250.7761198,1,1273,954.457622148,1022.2238802,31,1205,2
15370,ENST00000405640,6585.991,109.394956,6785,0.511175,3.0,56.10143898,1,283,102.274575123,226.89856102,53,158,2
5332,ENST00000452929,2253.991,2096.423389,2453,28.623313,9.92592592593,249.7815878,1,2765,2335.42748763,2515.2184122,66,2585,2
7691,ENST00000315677,6483.991,1273.552873,6683,6.044601,6.25,265.3014405,1,1699,1295.55394163,1433.6985595,64,1560,2
15373,ENST00000361007,4534.991,2111.730036,4734,14.330291,6.88888888889,3489.987657,1,2864,-947.039542296,-625.987657,146,2542,2
8624,ENST00000206380,1336.991,1524.0,1536,35.079194,4.125,1289.941112,1,1940,566.922432861,650.058888,35,1856,2
10994,ENST00000357519,1048.991,1020.473167,1248,29.938014,2.0,2153.113903,1,1380,-912.271628736,-773.113903,66,1240,2
3161,ENST00000338639,749.998,12519.2602,949,513.702276,4.83333333333,5579.9641,1,14899,9015.12333764,9319.0359,112,14595,2
8625,ENST00000592224,2814.991,4521.701498,3014,49.433111,4.45454545455,2947.072818,1,5735,2438.88259831,2787.927182,151,5385,2
7662,ENST00000348127,2279.991,1339.891567,2479,18.085462,6.625,151.8809187,1,1847,1517.63541138,1695.1190813,76,1669,2
7554,ENST00000226105,809.991,923.209352,1009,35.076253,3.46153846154,545.8727736,1,1216,603.126342494,670.1272264,29,1148,2
5231,ENST00000380839,1565.991,958.434392,1765,18.835026,3.5,149.2173436,1,1264,1049.60984435,1114.7826564,28,1198,2
7545,ENST00000587508,1467.991,449.0,1667,9.41274,2.33333333333,137.9959804,1,648,453.759031994,510.0040196,22,591,2
3198,ENST00000392190,1318.991,1541.563568,1518,35.967705,3.14285714286,71.28429967,1,1932,1809.88971892,1860.71570033,22,1881,2
14924,ENST00000259808,3960.991,129.217268,4160,1.003945,2.0,101.6002555,1,277,93.3664130475,175.3997445,36,194,2
11207,ENST00000303151,727.998,912.94957,927,38.593088,1.5,850.23,1,1205,268.087480534,354.77,31,1118,2
7543,ENST00000438323,1032.991,2109.504893,1232,62.84593,1.5,1207.971483,1,2688,1311.46981003,1480.028517,65,2519,2
6029,ENST00000547708,331.007,849.126884,530,78.945798,5.84,3871.86259,1,1202,-2847.2187719,-2669.86259,83,1024,2
