,transcript_id,EffectiveLength,NumReads,Length,TPM,eq_param,mean,faulty,count,predict_diff,diff,new_std,new_mean,new_deviation
19,ENST00000601776,5102.991,8.0,5302,0.048246,2.0,7.805,0,13,-47.5320794127,5.195,2,-467,240
9357,ENST00000371117,16082.991,3.0,16282,0.00574,2.0,1.77197184711,0,2,-157.063037509,0.228028152885,1,-155,157
5472,ENST00000371655,12644.991,2.009404,12844,0.00489,1.5,1.96889885513,0,3,-125.536647486,1.03110114487,1,-123,126
10535,ENST00000283426,11313.991,1.0,11513,0.00272,1.0,0.98,0,1,-114.305730994,0.02,1,-113,114
10096,ENST00000511828,9886.991,1.0,10086,0.003113,2.0,0.95,0,1,-96.468534342,0.05,1,-95,96
10089,ENST00000256246,9987.991,3.0,10187,0.009243,2.5,2.91,0,3,-95.2721183658,0.09,1,-92,95
6114,ENST00000371244,9147.991,4.0,9347,0.013456,1.0,3.81,0,5,-92.1142762721,1.19,1,-88,93
8242,ENST00000283243,8326.991,2.0,8526,0.007392,2.0,1.54949364126,0,2,-80.5392226015,0.450506358738,1,-78,80
497,ENST00000342292,7780.991,3.0,7980,0.011865,2.0,2.86,0,6,-75.1032993616,3.14,1,-72,78
2526,ENST00000555004,7574.991,2.174845,7774,0.008836,2.0,2.07749872943,0,4,-73.2290188399,1.92250127057,1,-71,75
10514,ENST00000296452,15755.991,5.0,15955,0.009766,4.5,4.95,0,5,-145.053628814,0.05,2,-140,72
9316,ENST00000253255,7460.991,3.0,7660,0.012374,2.0,3.215,0,3,-72.123250476,-0.215,1,-68,71
8625,ENST00000429713,7026.991,3.0,7242,0.013138,4.0,2.56954015834,0,3,-70.5115118529,0.430459841655,1,-67,70
8667,ENST00000309996,7666.991,3.0,7866,0.012042,3.0,2.645,0,3,-70.221554251,0.355,1,-67,70
9103,ENST00000280871,6803.991,1.218106,7003,0.00551,1.5,1.19180637374,0,1,-67.5871444418,-0.191806373737,1,-66,67
1315,ENST00000230053,6365.991,2.534496,6565,0.012252,1.0,2.32022105555,0,5,-64.6962433816,2.67977894445,1,-62,67
8291,ENST00000256637,6828.991,3.0,7028,0.013519,1.5,2.5241321163,0,2,-67.2548053666,-0.524132116295,1,-64,66
9954,ENST00000302326,7356.991,2.0,7556,0.008366,3.16666666667,2.085,0,2,-66.9675101359,-0.085,1,-64,66
5996,ENST00000400199,7362.991,3.626774,7562,0.015159,3.5,3.33895600666,0,4,-65.3095556616,0.661043993336,1,-61,65
1536,ENST00000367282,6388.991,4.004737,6588,0.01929,1.5,4.08496713282,0,7,-63.0136998235,2.91503286718,1,-58,65
9237,ENST00000429492,7523.991,1.249259,7723,0.00511,4.0,1.16843869485,0,1,-65.6498526721,-0.168438694846,1,-64,65
27,ENST00000257548,3542.991,8.740286,3742,0.075919,3.8,8.46835461578,0,17,-25.3269844651,8.53164538422,4,-244,65
