transcript_id,tcount
ENST00000496114,142
ENST00000262613,5
ENST00000496112,3
ENST00000496113,8
ENST00000496118,20
ENST00000456142,0
ENST00000456145,12
ENST00000456144,158
ENST00000456147,0
ENST00000160298,3
ENST00000456149,5
ENST00000456148,7
ENST00000513541,23
ENST00000513540,1
ENST00000513543,0
ENST00000506090,0
ENST00000506093,0
ENST00000506092,0
ENST00000506099,33
ENST00000248668,34
ENST00000599567,21
ENST00000555910,26
ENST00000555911,15
ENST00000555913,0
ENST00000555914,1149
ENST00000314330,1
ENST00000314332,3
ENST00000462419,15
ENST00000462412,13
ENST00000430714,0
ENST00000411990,19
ENST00000411995,3
ENST00000411994,11
ENST00000567094,64
ENST00000567096,9
ENST00000379358,18
ENST00000567093,10
ENST00000426086,7
ENST00000593039,35
ENST00000593038,0
ENST00000264515,3
ENST00000593036,33
ENST00000593031,16
ENST00000426088,3
ENST00000556465,41
ENST00000556466,0
ENST00000556461,15
ENST00000556462,1
ENST00000510936,0
ENST00000556468,7
ENST00000297625,0
ENST00000399302,8
ENST00000420687,18
ENST00000399300,29
ENST00000399306,37
ENST00000399304,29
ENST00000588750,25
ENST00000335934,5
ENST00000398542,52
ENST00000589835,0
ENST00000581739,9
ENST00000581738,19
ENST00000581733,1
ENST00000224073,6
ENST00000606797,6
ENST00000492918,0
ENST00000583389,3
ENST00000514707,0
ENST00000583382,0
ENST00000583380,0
ENST00000583381,8
ENST00000340149,9
ENST00000437508,6
ENST00000437509,3
ENST00000437500,22
ENST00000532332,0
ENST00000532331,0
ENST00000437503,0
ENST00000306549,0
ENST00000437506,5
ENST00000514703,0
ENST00000307635,0
ENST00000434854,10
ENST00000307630,3
ENST00000528938,0
ENST00000307633,74
ENST00000528936,32
ENST00000283297,2
ENST00000283296,0
ENST00000283290,9
ENST00000434859,0
ENST00000437613,2
ENST00000592347,0
ENST00000503765,8
ENST00000592342,1
ENST00000539458,138
ENST00000309295,8
ENST00000551116,16
ENST00000551110,0
ENST00000340465,0
ENST00000551118,9
ENST00000340462,23
ENST00000371191,0
ENST00000416385,5
ENST00000371196,42
ENST00000371197,0
ENST00000371198,11
ENST00000371199,4
ENST00000457979,3
