transcript_id,times
ENST00000496114,7
ENST00000262613,3
ENST00000496112,2
ENST00000496113,6
ENST00000496118,2
ENST00000456142,0
ENST00000456145,2
ENST00000456144,18
ENST00000456147,0
ENST00000160298,2
ENST00000456149,2
ENST00000456148,8
ENST00000513541,7
ENST00000513540,0
ENST00000513543,0
ENST00000506090,0
ENST00000506093,0
ENST00000506092,0
ENST00000506099,1
ENST00000248668,1
ENST00000599567,2
ENST00000555910,2
ENST00000555911,7
ENST00000555913,0
ENST00000555914,68
ENST00000314330,2
ENST00000314332,2
ENST00000462419,4
ENST00000462412,4
ENST00000430714,0
ENST00000411990,3
ENST00000411995,1
ENST00000411994,2
ENST00000567094,6
ENST00000567096,0
ENST00000379358,3
ENST00000567093,1
ENST00000426086,1
ENST00000593039,10
ENST00000593038,0
ENST00000264515,2
ENST00000593036,4
ENST00000593031,2
ENST00000426088,0
ENST00000556465,1
ENST00000556466,0
ENST00000556461,4
ENST00000556462,1
ENST00000510936,0
ENST00000556468,6
ENST00000297625,1
ENST00000399302,3
ENST00000420687,3
ENST00000399300,7
ENST00000399306,2
ENST00000399304,9
ENST00000588750,8
ENST00000335934,1
ENST00000398542,4
ENST00000589835,0
ENST00000581739,0
ENST00000581738,3
ENST00000581733,9
ENST00000224073,4
ENST00000606797,3
ENST00000492918,1
ENST00000583389,3
ENST00000514707,0
ENST00000583382,0
ENST00000583380,1
ENST00000583381,3
ENST00000340149,3
ENST00000437508,2
ENST00000437509,1
ENST00000437500,3
ENST00000532332,0
ENST00000532331,0
ENST00000437503,0
ENST00000306549,0
ENST00000437506,2
ENST00000514703,0
ENST00000307635,0
ENST00000434854,2
ENST00000307630,1
ENST00000528938,0
ENST00000307633,15
ENST00000528936,2
ENST00000283297,1
ENST00000283296,0
ENST00000283290,4
ENST00000434859,0
ENST00000437613,2
ENST00000592347,1
ENST00000503765,2
ENST00000592342,4
ENST00000539458,5
ENST00000309295,2
ENST00000551116,7
ENST00000551110,0
ENST00000340465,1
ENST00000551118,5
ENST00000340462,6
ENST00000371191,0
ENST00000416385,1
ENST00000371196,3
ENST00000371197,0
ENST00000371198,4
ENST00000371199,1
ENST00000457979,30
ENST00000396218,0
ENST00000396219,0
ENST00000536305,6
ENST00000536300,2
ENST00000396210,4
ENST00000396211,0
ENST00000396212,6
ENST00000396213,0
ENST00000396217,2
ENST00000573771,2
ENST00000573778,20
ENST00000597830,0
ENST00000597832,2
ENST00000597836,4
ENST00000407653,3
ENST00000407654,3
ENST00000393792,1
ENST00000393793,4
ENST00000393791,9
ENST00000393796,6
ENST00000393797,7
ENST00000393794,5
ENST00000393795,9
ENST00000291971,0
ENST00000509185,0
ENST00000600022,16
ENST00000509180,3
ENST00000600020,0
ENST00000329312,0
ENST00000329314,1
ENST00000329319,8
ENST00000376872,2
ENST00000376873,1
ENST00000376871,2
ENST00000376876,5
ENST00000376874,3
ENST00000376875,4
ENST00000276185,0
ENST00000240050,7
ENST00000240055,4
ENST00000584811,8
ENST00000584810,0
ENST00000246841,1
ENST00000439362,2
ENST00000439363,0
ENST00000449408,9
ENST00000449409,8
ENST00000439365,2
ENST00000449405,0
ENST00000449406,3
ENST00000439369,4
ENST00000440486,0
ENST00000294613,3
ENST00000222115,0
ENST00000582415,1
ENST00000294618,9
ENST00000582416,0
ENST00000582410,3
ENST00000395747,3
ENST00000447533,1
ENST00000447530,0
ENST00000395744,9
ENST00000447536,0
ENST00000395741,9
ENST00000447535,1
ENST00000447539,0
ENST00000276893,1
ENST00000395749,4
ENST00000395748,0
ENST00000524132,0
ENST00000524131,0
ENST00000524137,0
ENST00000457630,1
ENST00000543630,5
ENST00000085219,18
ENST00000587473,1
ENST00000488653,10
ENST00000424016,1
ENST00000424017,0
ENST00000424014,8
ENST00000376255,1
ENST00000376250,0
ENST00000376251,3
ENST00000591064,5
ENST00000591066,0
ENST00000591067,0
ENST00000591060,0
ENST00000376259,2
ENST00000555919,1
ENST00000258484,5
ENST00000321944,4
ENST00000321945,6
ENST00000313234,0
ENST00000308650,1
ENST00000243501,2
ENST00000270457,7
ENST00000541965,2
ENST00000541966,0
ENST00000541961,16
ENST00000541963,4
ENST00000400191,0
ENST00000400192,0
ENST00000594582,4
ENST00000609089,0
ENST00000400199,2
ENST00000609087,1
ENST00000270452,8
ENST00000373758,1
ENST00000373759,4
ENST00000452935,12
ENST00000373750,6
ENST00000373754,0
ENST00000373755,0
ENST00000289407,1
ENST00000292616,1
ENST00000289409,4
ENST00000440480,3
ENST00000599699,1
ENST00000599694,4
ENST00000599693,4
ENST00000559260,8
ENST00000559269,1
ENST00000368602,0
ENST00000368603,7
ENST00000368600,11
ENST00000368601,4
ENST00000368606,1
ENST00000368607,8
ENST00000368604,1
ENST00000467317,4
ENST00000528164,1
ENST00000368608,1
ENST00000368609,2
ENST00000528160,0
ENST00000528163,52
ENST00000543845,0
ENST00000390667,5
ENST00000390666,0
ENST00000390665,2
ENST00000390664,2
ENST00000390661,0
ENST00000452931,2
ENST00000390669,3
ENST00000390668,6
ENST00000597053,0
ENST00000597051,0
ENST00000529411,3
ENST00000529417,0
ENST00000529414,5
ENST00000529415,2
ENST00000597058,0
ENST00000372407,4
ENST00000372406,4
ENST00000357089,8
ENST00000372403,8
ENST00000460223,5
ENST00000357082,2
ENST00000357083,2
ENST00000357080,0
ENST00000357081,5
ENST00000357086,9
ENST00000372409,1
ENST00000357085,1
ENST00000508448,3
ENST00000311812,0
ENST00000508445,0
ENST00000508447,4
ENST00000508440,0
ENST00000508442,2
ENST00000246069,1
ENST00000317318,1
ENST00000441159,4
ENST00000366139,0
ENST00000441152,0
ENST00000441150,0
ENST00000586997,0
ENST00000202625,0
ENST00000443947,1
ENST00000443946,1
ENST00000443941,1
ENST00000443940,0
ENST00000466045,3
ENST00000325752,5
ENST00000369551,0
ENST00000369550,3
ENST00000369553,5
ENST00000369552,5
ENST00000369555,10
ENST00000369554,11
ENST00000369557,3
ENST00000369556,6
ENST00000369559,7
ENST00000369558,10
ENST00000361764,4
ENST00000361762,0
ENST00000361763,2
ENST00000361760,0
ENST00000425042,3
ENST00000470018,2
ENST00000599748,8
ENST00000425043,0
ENST00000370656,2
ENST00000596046,10
ENST00000425041,2
ENST00000593032,3
ENST00000468059,4
ENST00000455195,0
ENST00000406904,2
ENST00000333407,0
ENST00000406900,1
ENST00000406902,6
ENST00000423376,1
ENST00000423377,3
ENST00000423375,6
ENST00000423372,8
ENST00000423371,0
ENST00000425048,0
ENST00000286523,3
ENST00000370658,0
ENST00000424696,0
ENST00000560848,7
ENST00000560846,2
ENST00000571471,1
ENST00000560840,1
ENST00000560841,0
ENST00000440209,0
ENST00000440208,0
ENST00000531895,7
ENST00000531890,2
ENST00000440200,0
ENST00000440203,1
ENST00000273286,0
ENST00000440205,2
ENST00000351030,2
ENST00000351035,1
ENST00000329122,0
ENST00000452939,3
ENST00000304414,10
ENST00000402102,0
ENST00000304411,0
ENST00000402105,5
ENST00000251343,7
ENST00000358514,2
ENST00000358517,3
ENST00000358511,0
ENST00000358510,1
ENST00000513283,0
ENST00000313548,0
ENST00000477742,8
ENST00000477743,0
ENST00000477740,2
ENST00000313546,6
ENST00000477745,3
ENST00000289877,1
ENST00000538202,0
ENST00000355640,1
ENST00000392436,2
ENST00000338835,1
ENST00000355648,2
ENST00000326474,0
ENST00000326470,5
ENST00000520158,0
ENST00000311946,2
ENST00000508724,0
ENST00000563308,1
ENST00000348120,0
ENST00000520152,2
ENST00000520153,19
ENST00000520154,5
ENST00000520155,0
ENST00000348127,16
ENST00000348126,20
ENST00000215919,2
ENST00000215917,4
ENST00000215912,4
ENST00000417865,6
ENST00000417864,8
ENST00000349458,2
ENST00000349459,4
ENST00000349456,6
ENST00000349457,2
ENST00000349455,0
ENST00000479081,0
ENST00000349451,3
ENST00000333119,2
ENST00000357869,4
ENST00000357864,1
ENST00000357865,6
ENST00000357866,6
ENST00000357867,6
ENST00000357861,2
ENST00000590790,6
ENST00000566877,5
ENST00000566876,0
ENST00000566871,8
ENST00000566873,0
ENST00000566872,5
ENST00000220562,5
ENST00000333110,0
ENST00000450619,2
ENST00000587678,3
ENST00000587679,4
ENST00000587676,0
ENST00000496687,0
ENST00000496684,13
ENST00000450618,0
ENST00000496682,1
ENST00000496681,2
ENST00000450617,6
ENST00000585684,0
ENST00000443163,0
ENST00000370384,3
ENST00000443166,3
ENST00000263981,4
ENST00000263980,2
ENST00000354514,1
ENST00000263985,2
ENST00000564657,0
ENST00000302053,0
ENST00000564655,5
ENST00000564653,3
ENST00000370380,1
ENST00000262059,26
ENST00000262056,7
ENST00000482059,0
ENST00000262052,17
ENST00000262053,4
ENST00000262051,13
ENST00000555288,0
ENST00000481503,6
ENST00000481508,4
ENST00000555282,0
ENST00000555283,0
ENST00000555287,6
ENST00000429851,3
ENST00000336199,3
ENST00000470820,3
ENST00000470821,7
ENST00000470827,3
ENST00000535408,5
ENST00000535404,5
ENST00000535406,4
ENST00000535407,3
ENST00000535400,5
ENST00000535401,0
ENST00000264065,1
ENST00000593587,21
ENST00000593583,0
ENST00000593582,5
ENST00000593588,0
ENST00000560025,1
ENST00000560027,1
ENST00000560029,4
ENST00000300880,1
ENST00000497553,0
ENST00000340477,3
ENST00000490689,3
ENST00000405222,11
ENST00000518989,7
ENST00000489752,2
ENST00000518984,0
ENST00000512921,2
ENST00000518986,3
ENST00000512923,13
ENST00000518980,7
ENST00000512927,0
ENST00000011619,1
ENST00000450247,0
ENST00000450240,6
ENST00000450241,11
ENST00000450242,0
ENST00000607000,1
ENST00000607001,1
ENST00000607003,7
ENST00000607004,0
ENST00000583388,2
ENST00000514135,5
ENST00000514134,0
ENST00000511324,0
ENST00000511323,0
ENST00000530541,0
ENST00000412996,0
ENST00000412997,5
ENST00000608587,0
ENST00000608581,14
ENST00000243776,4
ENST00000458166,11
ENST00000561779,0
ENST00000561778,0
ENST00000561777,1
ENST00000432747,2
ENST00000526127,0
ENST00000526126,1
ENST00000583121,1
ENST00000526123,0
ENST00000526122,0
ENST00000231790,20
ENST00000490025,5
ENST00000458076,3
ENST00000458073,5
ENST00000415413,0
ENST00000379453,0
ENST00000458070,0
ENST00000404172,0
ENST00000404171,0
ENST00000458078,5
ENST00000378324,2
ENST00000378325,9
ENST00000378322,8
ENST00000378323,2
ENST00000517440,0
ENST00000566096,3
ENST00000451591,2
ENST00000451590,6
ENST00000566093,2
ENST00000451596,0
ENST00000451594,0
ENST00000585973,0
ENST00000437502,2
ENST00000606358,1
ENST00000546343,7
ENST00000453571,3
ENST00000453576,0
ENST00000588158,1
ENST00000588156,3
ENST00000453579,0
ENST00000301411,0
ENST00000446691,0
ENST00000446692,4
ENST00000446693,0
ENST00000603207,0
ENST00000589289,3
ENST00000589288,5
ENST00000543814,12
ENST00000589284,3
ENST00000543818,0
ENST00000589280,1
ENST00000589283,10
ENST00000330575,21
ENST00000330574,2
ENST00000249071,7
ENST00000531689,6
ENST00000548790,0
ENST00000249075,2
ENST00000519618,1
ENST00000249079,2
ENST00000519614,1
ENST00000330579,1
ENST00000519611,10
ENST00000338382,8
ENST00000595322,1
ENST00000338380,1
ENST00000558262,0
ENST00000595327,0
